Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,4.09B,4.14B,7.15B,10.25B,10.17B
Cash & Short Term Investments Growth,-,1.32%,72.66%,43.38%,-0.77%
Cash Only,3.84B,3.86B,6.84B,9.8B,9.88B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,6.08%,6.10%,9.85%,13.63%,13.66%
Total Accounts Receivable,5.18B,5.43B,6.41B,6.49B,6.22B
Total Accounts Receivable Growth,-,4.69%,18.23%,1.14%,-4.15%
"Accounts Receivables, Net",5.18B,5.43B,6.41B,6.49B,6.22B
"Accounts Receivables, Gross",5.5B,5.81B,6.87B,7.01B,6.72B
Bad Debt/Doubtful Accounts,(314M),(384M),(460M),(519M),(500M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,5.90,5.88,5.40,6.64,7.02
Inventories,3.8B,4.32B,5.01B,5.16B,6.17B
Finished Goods,2.41B,2.78B,3.03B,3.08B,3.81B
Work in Progress,499M,560M,712M,694M,680M
Raw Materials,890M,972M,1.27B,1.38B,1.69B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.57B,1.79B,1.87B,2.35B,2.66B
Miscellaneous Current Assets,1.57B,1.79B,1.87B,2.35B,2.66B
Total Current Assets,14.63B,15.67B,20.44B,24.24B,25.22B
"Net Property, Plant & Equipment",7.56B,8.97B,10.13B,10.11B,10.28B
"Property, Plant & Equipment - Gross",15.71B,17.73B,19.89B,20.52B,21.33B
Buildings,3.56B,3.7B,4.01B,4.01B,4.05B
Land & Improvements,501M,519M,538M,525M,511M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,8.14B,8.76B,9.76B,10.41B,11.05B
Total Investments and Advances,897M,931M,1.03B,903M,766M
Other Long-Term Investments,897M,931M,1.03B,903M,597M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,42.2B,40.22B,38.53B,35.97B,33.25B
Net Goodwill,23.25B,23.2B,23.74B,23.23B,22.8B
Net Other Intangibles,18.94B,17.03B,14.78B,12.74B,10.45B
Other Assets,1.89B,2.1B,2.42B,3.97B,4.92B
Total Assets,67.17B,67.89B,72.55B,75.2B,74.44B
Total Assets Growth,-,1.06%,6.87%,3.65%,-1.01%
