Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,2.24B,2.62B,3.57B,4.47B,4.96B
Cash & Short Term Investments Growth,-,17.31%,36.22%,24.96%,11.15%
Cash Only,2.24B,2.62B,3.57B,4.47B,4.96B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,5.68B,6.28B,7.34B,12.9B,17.53B
Short Term Receivables Growth,-,10.52%,16.82%,75.89%,35.85%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,5M,4.5M,3.9M,5.5M,-
"Net Property, Plant & Equipments",436.9M,860.9M,824.6M,859.4M,922.9M
Other Assets (Including Intangibles),7.11B,8.88B,9.49B,13.88B,14.19B
Other Assets,713.9M,947.4M,961.6M,1.26B,1.33B
Intangible Assets,6.4B,7.94B,8.53B,12.62B,12.86B
Total Assets,16.33B,19.63B,22.33B,33.35B,38.91B
Total Assets Growth,-,20.21%,13.73%,49.32%,16.68%
Return On Average Assets,-,-,-,-,3.08%
