Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,828M,1.04B,1.19B,836M,1.14B
Cash & Short Term Investments Growth,-,25.36%,14.84%,-29.87%,36.60%
Cash Only,656M,900M,884M,544M,690M
Total Short-Term Investments,172M,138M,308M,292M,452M
Short-Term Receivables,2.99B,3.31B,3.29B,3.24B,3.22B
Short Term Receivables Growth,-,10.75%,-0.48%,-1.46%,-0.74%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,54M,53M,74M,64M,60M
"Net Property, Plant & Equipments",588M,1.65B,1.6B,1.38B,1.3B
Other Assets (Including Intangibles),21.41B,22.71B,25.24B,25.63B,26.16B
Other Assets,12.09B,13.77B,15.93B,16.71B,17.42B
Intangible Assets,9.32B,8.95B,9.31B,8.93B,8.74B
Total Assets,26.42B,29.41B,32.11B,31.92B,32.7B
Total Assets Growth,-,11.29%,9.21%,-0.61%,2.47%
Return On Average Assets,-,-,-,-,8.01%
