Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.84B,3.34B,3.74B,2.96B,1.72B
Cash & Short Term Investments Growth,-,81.45%,12.02%,-20.88%,-41.75%
Cash Only,1.84B,3.34B,3.74B,2.96B,1.72B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,11.69%,18.33%,18.66%,8.82%,6.09%
Total Accounts Receivable,1.84B,1.9B,2.08B,2.71B,2.75B
Total Accounts Receivable Growth,-,3.04%,9.55%,30.62%,1.44%
"Accounts Receivables, Net",1.84B,1.9B,2.08B,2.71B,2.75B
"Accounts Receivables, Gross",1.95B,2.01B,2.2B,2.84B,2.87B
Bad Debt/Doubtful Accounts,(110M),(112M),(125M),(122M),(114M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,6.03,5.99,5.62,4.71,5.49
Inventories,1.67B,1.65B,1.92B,2.45B,2.72B
Finished Goods,1.09B,1.09B,1.26B,1.56B,1.69B
Work in Progress,207M,185M,196M,300M,293M
Raw Materials,367M,377M,460M,591M,738M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,614M,619M,682M,750M,819M
Miscellaneous Current Assets,404M,389M,336M,385M,445M
Total Current Assets,5.96B,7.5B,8.41B,8.87B,8.01B
"Net Property, Plant & Equipment",4.53B,5.12B,5.33B,5.81B,5.53B
"Property, Plant & Equipment - Gross",10.33B,11.27B,11.87B,12.36B,11.97B
Buildings,1.7B,1.76B,1.85B,1.92B,1.81B
Land & Improvements,142M,148M,166M,172M,149M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,5.8B,6.15B,6.55B,6.55B,6.44B
Total Investments and Advances,45M,86M,135M,154M,247M
Other Long-Term Investments,45M,86M,135M,154M,247M
Long-Term Note Receivables,176M,231M,222M,224M,211M
Intangible Assets,4.41B,4.5B,4.89B,17.63B,13.64B
Net Goodwill,3B,3.03B,3.22B,9.84B,6.84B
Net Other Intangibles,1.41B,1.47B,1.67B,7.79B,6.79B
Other Assets,115M,131M,290M,459M,373M
Total Assets,15.72B,18.19B,20.02B,33.52B,28.29B
Total Assets Growth,-,15.73%,10.04%,67.45%,-15.61%
