Item,2019,2020,2021,2022,2023
Cash & Short Term Investments,1.42B,1.5B,3.57B,1.98B,1.23B
Cash & Short Term Investments Growth,-,5.27%,138.03%,-44.53%,-37.75%
Cash Only,1.41B,1.5B,3.57B,1.98B,1.23B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,17.60%,14.80%,30.84%,32.84%,22.42%
Total Accounts Receivable,367M,306M,148M,240M,226M
Total Accounts Receivable Growth,-,-16.62%,-51.63%,62.16%,-5.83%
"Accounts Receivables, Net",367M,306M,148M,240M,226M
"Accounts Receivables, Gross",367M,306M,148M,240M,226M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,36.07,42.20,43.47,32.84,33.45
Inventories,1.25B,1.29B,572M,709M,709M
Finished Goods,1.11B,1.15B,410M,521M,538M
Work in Progress,-,-,-,-,-
Raw Materials,141M,135M,162M,188M,171M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,221M,153M,1.29B,81M,99M
Miscellaneous Current Assets,221M,153M,1.29B,81M,99M
Total Current Assets,3.26B,3.25B,5.58B,3.01B,2.27B
"Net Property, Plant & Equipment",2.82B,5.54B,1.99B,2.03B,2.24B
"Property, Plant & Equipment - Gross",6.73B,9.67B,3.38B,3.6B,3.97B
Buildings,492M,496M,310M,301M,306M
Land & Improvements,116M,116M,89M,89M,90M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",6B,5.88B,2B,2.13B,2.45B
Accumulated Depreciation,3.92B,4.13B,1.4B,1.57B,1.72B
Total Investments and Advances,89M,118M,119M,126M,124M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.76B,1.04B,793M,793M,793M
Net Goodwill,1.35B,628M,628M,628M,628M
Net Other Intangibles,411M,411M,165M,165M,165M
Other Assets,102M,100M,3.04B,23M,31M
Total Assets,8.09B,10.13B,11.57B,6.03B,5.49B
Total Assets Growth,-,25.15%,14.28%,-47.92%,-8.83%
