Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,264M,273.6M,477.1M,275.2M,225.3M
Cash & Short Term Investments Growth,-,3.64%,74.38%,-42.32%,-18.13%
Cash Only,263.9M,273.2M,476.6M,274.5M,224.7M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.99%,7.05%,9.76%,3.39%,2.76%
Total Accounts Receivable,615M,664M,711.3M,820.3M,946.9M
Total Accounts Receivable Growth,-,7.97%,7.12%,15.32%,15.43%
"Accounts Receivables, Net",615M,664M,711.3M,820.3M,946.9M
"Accounts Receivables, Gross",617.7M,666.6M,721.1M,829.6M,953.7M
Bad Debt/Doubtful Accounts,(2.7M),(2.6M),(9.8M),(9.3M),(6.8M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,7.17,6.72,6.56,6.25,6.06
Inventories,18.5M,21.1M,21.5M,23.2M,29.3M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,18.5M,21.1M,21.5M,23.2M,29.3M
Other Current Assets,93.6M,83.6M,118.1M,142.6M,126.9M
Miscellaneous Current Assets,93.6M,83.6M,118.1M,142.6M,126.9M
Total Current Assets,991.1M,1.04B,1.33B,1.26B,1.33B
"Net Property, Plant & Equipment",204.1M,189M,454.2M,439.2M,373.7M
"Property, Plant & Equipment - Gross",596.3M,612.9M,761.2M,771.9M,741.7M
Buildings,2.6M,2.6M,2.6M,2.7M,2.5M
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",161.5M,174.6M,196.9M,196.8M,189.7M
Accumulated Depreciation,392.2M,423.9M,307M,332.7M,368M
Total Investments and Advances,85.6M,103.9M,141.6M,194M,221.6M
Other Long-Term Investments,80.3M,100.4M,141.6M,194M,221.6M
Long-Term Note Receivables,16.5M,47.5M,81.9M,89.8M,118.5M
Intangible Assets,1.75B,2.06B,2.26B,5.15B,4.56B
Net Goodwill,1.25B,1.5B,1.67B,3.72B,3.48B
Net Other Intangibles,494.1M,556.2M,583.8M,1.43B,1.08B
Other Assets,249.2M,436.3M,623.2M,984.5M,1.55B
Total Assets,3.3B,3.88B,4.89B,8.12B,8.17B
Total Assets Growth,-,17.43%,26.00%,66.06%,0.60%
