Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,639.19M,691.89M,1.72B,501.16M,736.81M
Cash & Short Term Investments Growth,-,8.24%,148.50%,-70.85%,47.02%
Cash Only,639.19M,691.89M,1.72B,501.16M,736.81M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,186.1M,208.73M,173.69M,158.16M,172.78M
Short Term Receivables Growth,-,12.16%,-16.79%,-8.94%,9.24%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,28.2M,36.75M,39.46M,43.63M,32.28M
"Net Property, Plant & Equipments",-,-,-,-,-
Other Assets (Including Intangibles),1.69B,1.77B,1.8B,1.9B,2.05B
Other Assets,1.69B,1.77B,1.8B,1.3B,1.34B
Intangible Assets,-,-,-,599.57M,713.97M
Total Assets,20.26B,21.28B,22.86B,22.37B,24.21B
Total Assets Growth,-,5.08%,7.39%,-2.16%,8.24%
Return On Average Assets,-,-,-,-,3.64%
