Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,49M,31M,859M,69M,109M
Cash & Short Term Investments Growth,-,-36.73%,"2,670.97%",-91.97%,57.97%
Cash Only,49M,31M,859M,69M,109M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.34%,0.24%,6.94%,0.59%,0.92%
Total Accounts Receivable,563M,574M,575M,595M,541M
Total Accounts Receivable Growth,-,1.95%,0.17%,3.48%,-9.08%
"Accounts Receivables, Net",510M,525M,530M,544M,490M
"Accounts Receivables, Gross",528M,538M,544M,556M,502M
Bad Debt/Doubtful Accounts,(18M),(13M),(14M),(12M),(12M)
Other Receivable,53M,49M,45M,51M,51M
Accounts Receivable Turnover,11.75,14.12,15.11,14.25,15.83
Inventories,887M,863M,871M,933M,1.25B
Finished Goods,575M,592M,574M,612M,856M
Work in Progress,-,-,-,-,-
Raw Materials,312M,271M,297M,321M,390M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,797M,499M,80M,98M,67M
Miscellaneous Current Assets,797M,499M,80M,98M,67M
Total Current Assets,2.3B,1.97B,2.39B,1.7B,1.96B
"Net Property, Plant & Equipment",2.47B,2.46B,2.62B,2.61B,2.58B
"Property, Plant & Equipment - Gross",5.24B,5.22B,5.54B,5.72B,5.92B
Buildings,1.44B,1.47B,1.47B,1.49B,1.53B
Land & Improvements,82M,83M,75M,75M,74M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.77B,2.76B,2.92B,3.12B,3.34B
Total Investments and Advances,92M,77M,-,-,-
Other Long-Term Investments,92M,77M,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,7.53B,7.43B,7.34B,7.22B,7.18B
Net Goodwill,3.86B,4.02B,3.99B,3.98B,3.98B
Net Other Intangibles,3.66B,3.42B,3.35B,3.24B,3.2B
Other Assets,2.15B,1.22B,29M,214M,170M
Total Assets,14.53B,13.15B,12.37B,11.73B,11.89B
Total Assets Growth,-,-9.51%,-5.90%,-5.16%,1.35%
