Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,43.6M,27.5M,424.53M,618.98M,17.44M
Cash & Short Term Investments Growth,-,-36.93%,"1,443.81%",45.80%,-97.18%
Cash Only,43.6M,27.5M,424.53M,618.98M,17.44M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,32.23M,29.7M,26.56M,18.66M,13.36M
Short Term Receivables Growth,-,-7.86%,-10.58%,-29.72%,-28.40%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,-,-,-,-,-
"Net Property, Plant & Equipments",-,10.6M,9.2M,6.9M,6M
Other Assets (Including Intangibles),196.14M,230.25M,200.68M,227.47M,223.37M
Other Assets,196.14M,230.25M,200.68M,227.47M,223.37M
Intangible Assets,-,-,-,-,-
Total Assets,6.22B,6.75B,7.2B,7.98B,9.33B
Total Assets Growth,-,8.50%,6.67%,10.80%,16.94%
Return On Average Assets,-,-,-,-,7.54%
