Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,46.55B,33.41B,29.42B,24.53B,19.27B
Cash & Short Term Investments Growth,-,-28.22%,-11.95%,-16.61%,-21.46%
Cash Only,8.93B,11.75B,11.81B,9.19B,7.08B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,42.79%,34.17%,31.02%,25.16%,20.50%
Total Accounts Receivable,10.5B,10.59B,10.52B,10.15B,10.53B
Total Accounts Receivable Growth,-,0.79%,-0.60%,-3.58%,3.76%
"Accounts Receivables, Net",5.55B,5.49B,5.47B,5.77B,6.62B
"Accounts Receivables, Gross",5.68B,5.63B,5.62B,5.88B,6.71B
Bad Debt/Doubtful Accounts,(129M),(136M),(143M),(109M),(83M)
Other Receivable,4.95B,5.1B,5.05B,4.38B,3.91B
Accounts Receivable Turnover,4.70,4.90,4.69,4.91,4.90
Inventories,1.85B,1.38B,1.28B,1.56B,2.57B
Finished Goods,1.13B,752M,601M,519M,717M
Work in Progress,-,10M,25M,54M,150M
Raw Materials,423M,374M,456M,801M,1.6B
Progress Payments & Other,291M,247M,200M,185M,100M
Other Current Assets,2.94B,2.37B,2.35B,2.88B,4.36B
Miscellaneous Current Assets,2.94B,2.37B,2.35B,2.88B,4.36B
Total Current Assets,61.84B,47.76B,43.57B,39.11B,36.72B
"Net Property, Plant & Equipment",3.01B,2.79B,3.37B,3.43B,3B
"Property, Plant & Equipment - Gross",12.24B,12.04B,11.94B,12.01B,11.17B
Buildings,4.71B,4.55B,4.25B,4.3B,4.22B
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,1.09B,922M,875M,858M,779M
"Other Property, Plant & Equipment",358M,376M,387M,377M,335M
Accumulated Depreciation,9.24B,9.25B,8.56B,8.58B,8.17B
Total Investments and Advances,1.1B,1.2B,1.45B,3.1B,4.91B
Other Long-Term Investments,-,-,173M,1.6B,3.01B
Long-Term Note Receivables,4.88B,4.96B,5.71B,4.88B,4.01B
Intangible Assets,34.26B,35.73B,35.38B,41.79B,40.87B
Net Goodwill,31.71B,33.53B,33.81B,38.17B,38.3B
Net Other Intangibles,2.55B,2.2B,1.58B,3.62B,2.57B
Other Assets,486M,1.3B,1.37B,818M,45M
Total Assets,108.78B,97.79B,94.85B,97.5B,94B
Total Assets Growth,-,-10.10%,-3.01%,2.79%,-3.58%
