Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,272.6M,244.46M,3.8B,1.39B,1.17B
Cash & Short Term Investments Growth,-,-10.32%,"1,453.23%",-63.42%,-15.84%
Cash Only,239.64M,209.82M,3.8B,1.39B,1.17B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.61%,4.33%,10.44%,3.65%,3.49%
Total Accounts Receivable,76.23M,57.71M,386M,472M,611M
Total Accounts Receivable Growth,-,-24.30%,568.92%,22.28%,29.45%
"Accounts Receivables, Net",60.17M,53.9M,342M,472M,611M
"Accounts Receivables, Gross",63.84M,58.53M,342M,472M,611M
Bad Debt/Doubtful Accounts,(3.67M),(4.63M),-,-,-
Other Receivable,16.06M,3.81M,44M,-,-
Accounts Receivable Turnover,26.97,43.81,9.40,20.28,17.71
Inventories,20.6M,18.38M,44M,42M,59M
Finished Goods,20.6M,18.38M,44M,42M,59M
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,203.77M,284.1M,1.84B,4.06B,263M
Miscellaneous Current Assets,155.77M,253.14M,1.58B,3.77B,-
Total Current Assets,573.2M,604.64M,6.06B,5.96B,2.1B
"Net Property, Plant & Equipment",2.88B,2.8B,15.19B,15.26B,15.24B
"Property, Plant & Equipment - Gross",3.46B,3.47B,16.24B,17.27B,18.23B
Buildings,2.05B,1.91B,12.06B,12.43B,13.09B
Land & Improvements,693.61M,652.15M,2.19B,2.13B,2.09B
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",670.26M,684.26M,1.42B,1.65B,2.05B
Accumulated Depreciation,573.37M,665.63M,1.05B,2B,2.99B
Total Investments and Advances,39.64M,181.84M,610M,481M,228M
Other Long-Term Investments,39.64M,46.01M,437M,323M,134M
Long-Term Note Receivables,-,14.26M,-,-,-
Intangible Assets,2.37B,2.02B,14.15B,16B,15.72B
Net Goodwill,1.01B,909.72M,9.86B,11.08B,11B
Net Other Intangibles,1.36B,1.11B,4.28B,4.92B,4.71B
Other Assets,45.7M,15.96M,373M,327M,242M
Total Assets,5.91B,5.64B,36.39B,38.03B,33.53B
Total Assets Growth,-,-4.58%,545.06%,4.52%,-11.84%
