Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.39B,1.53B,2.71B,2.73B,2.46B
Cash & Short Term Investments Growth,-,10.66%,76.59%,0.87%,-10.07%
Cash Only,1.14B,446.2M,817.6M,1.05B,642.3M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,72.32%,64.02%,61.78%,55.36%,45.56%
Total Accounts Receivable,226.7M,286.3M,428.5M,516.6M,752.2M
Total Accounts Receivable Growth,-,26.29%,49.67%,20.56%,45.61%
"Accounts Receivables, Net",226.7M,286.3M,428.5M,514.3M,713.3M
"Accounts Receivables, Gross",233.9M,292.1M,435.7M,519.7M,720.6M
Bad Debt/Doubtful Accounts,(7.2M),(5.8M),(7.2M),(5.4M),(7.3M)
Other Receivable,-,-,-,2.3M,38.9M
Accounts Receivable Turnover,4.55,5.16,4.50,4.74,3.87
Inventories,70.7M,119.8M,234.7M,357.3M,306.7M
Finished Goods,28.7M,43.8M,150.6M,195.9M,130.5M
Work in Progress,11.2M,11.1M,14.2M,16.2M,17.2M
Raw Materials,30.8M,64.9M,69.9M,145.2M,159M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,16.5M,30M,53.9M,79.3M,153.7M
Miscellaneous Current Assets,16.5M,30M,53.9M,27.4M,37M
Total Current Assets,1.7B,1.97B,3.42B,3.68B,3.67B
"Net Property, Plant & Equipment",183.1M,392.8M,608.6M,889.9M,1.14B
"Property, Plant & Equipment - Gross",262.9M,497.8M,762.8M,1.12B,1.5B
Buildings,6M,15.5M,49.2M,49.1M,54.3M
Land & Improvements,-,-,15.6M,15.6M,26.9M
Computer Software and Equipment,29.2M,32.7M,35.7M,52.7M,48.8M
"Other Property, Plant & Equipment",89.7M,115.3M,151.1M,282.3M,297M
Accumulated Depreciation,79.8M,105M,154.2M,231.5M,363.2M
Total Investments and Advances,-,-,-,4.5M,19M
Other Long-Term Investments,-,-,-,4.5M,19M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,18.7M,18.6M,19.3M,58M,199M
Net Goodwill,18.7M,18.6M,19.3M,26.5M,25.7M
Net Other Intangibles,-,-,-,31.5M,173.3M
Other Assets,14.7M,14.2M,21.4M,6M,28.1M
Total Assets,1.92B,2.4B,4.38B,4.93B,5.39B
Total Assets Growth,-,25.00%,82.99%,12.56%,9.29%
