Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,391M,238M,240M,408M,341M
Cash & Short Term Investments Growth,-,-39.13%,0.84%,70.00%,-16.42%
Cash Only,391M,238M,240M,408M,341M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.50%,0.23%,0.25%,0.41%,0.33%
Total Accounts Receivable,2.08B,2.43B,2.51B,2.57B,3.36B
Total Accounts Receivable Growth,-,16.59%,3.38%,2.43%,30.72%
"Accounts Receivables, Net",1.75B,2.09B,2.3B,2.22B,2.95B
"Accounts Receivables, Gross",1.77B,2.11B,2.34B,2.25B,2.99B
Bad Debt/Doubtful Accounts,(18M),(21M),(45M),(30M),(34M)
Other Receivable,331M,340M,212M,349M,405M
Accounts Receivable Turnover,6.47,5.88,5.64,5.44,5.12
Inventories,1.42B,1.62B,1.55B,1.63B,1.73B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,1.42B,1.62B,1.55B,1.63B,1.73B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.27B,1.82B,2.59B,2.66B,4.42B
Miscellaneous Current Assets,1.01B,1.52B,2.28B,2.33B,4.03B
Total Current Assets,5.16B,6.1B,6.89B,7.27B,9.85B
"Net Property, Plant & Equipment",54.56B,57.66B,58.41B,60.28B,63.88B
"Property, Plant & Equipment - Gross",76.58B,82.51B,83.52B,87.01B,91.62B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",73.08B,78.66B,78.45B,81.44B,83.91B
Accumulated Depreciation,22.02B,24.84B,25.11B,26.73B,27.74B
Total Investments and Advances,6.56B,7.92B,10.57B,11.77B,10.4B
Other Long-Term Investments,5.28B,6.59B,7.63B,8.84B,7.39B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,7.08B,8.08B,8.15B,8.19B,8.16B
Net Goodwill,6.41B,7.4B,7.38B,7.41B,7.3B
Net Other Intangibles,670M,685M,765M,784M,868M
Other Assets,4.55B,24.06B,11.89B,12.09B,11.96B
Total Assets,77.91B,103.82B,95.91B,99.59B,104.24B
Total Assets Growth,-,33.25%,-7.63%,3.84%,4.67%
