Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,4.92B,2.75B,3.49B,7.32B,7.51B
Cash & Short Term Investments Growth,-,-44.03%,26.97%,109.65%,2.51%
Cash Only,2.22B,922M,1.24B,1.4B,2.19B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,21.54%,15.14%,18.09%,27.50%,36.00%
Total Accounts Receivable,1.38B,1.18B,652M,779M,975M
Total Accounts Receivable Growth,-,-14.62%,-44.75%,19.48%,25.16%
"Accounts Receivables, Net",1.38B,1.18B,652M,779M,853M
"Accounts Receivables, Gross",1.49B,1.26B,749M,821M,869M
Bad Debt/Doubtful Accounts,(106M),(82M),(97M),(42M),(16M)
Other Receivable,-,-,-,-,122M
Accounts Receivable Turnover,7.78,7.25,13.62,13.46,9.90
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,829M,775M,3.05B,1.01B,808M
Miscellaneous Current Assets,829M,775M,2.94B,895M,688M
Total Current Assets,7.13B,4.71B,7.19B,9.11B,9.29B
"Net Property, Plant & Equipment",1.6B,2.04B,1.72B,1.53B,1.75B
"Property, Plant & Equipment - Gross",6.34B,6.72B,6.38B,6.39B,6.87B
Buildings,713M,739M,744M,779M,792M
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,4.93B,4.78B,4.59B,4.75B,4.9B
"Other Property, Plant & Equipment",568M,521M,461M,496M,517M
Accumulated Depreciation,4.75B,4.68B,4.65B,4.86B,5.12B
Total Investments and Advances,3.78B,1.57B,1.91B,8.43B,2.02B
Other Long-Term Investments,3.64B,1.26B,1.36B,2.2B,1.44B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.25B,4.57B,4.3B,4.19B,4.38B
Net Goodwill,5.16B,4.53B,4.29B,4.18B,4.26B
Net Other Intangibles,92M,39M,12M,8M,115M
Other Assets,274M,1.3B,653M,115M,239M
Total Assets,22.82B,18.17B,19.31B,26.63B,20.85B
Total Assets Growth,-,-20.36%,6.25%,37.89%,-21.69%
