Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,151.4M,81.09M,84.04M,58.64M,42.68M
Cash & Short Term Investments Growth,-,-46.44%,3.63%,-30.23%,-27.21%
Cash Only,151.4M,81.09M,84.04M,58.64M,42.68M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,71.9M,134.37M,195.1M,341.03M,103.05M
Short Term Receivables Growth,-,86.89%,45.20%,74.80%,-69.78%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,215.35M,145.19M,147.77M,191.83M,112.74M
"Net Property, Plant & Equipments",-,74.74M,72.14M,68.97M,67.24M
Other Assets (Including Intangibles),30.94M,36.64M,95.28M,59.56M,80.76M
Other Assets,30.84M,35.44M,90.58M,50.66M,73.36M
Intangible Assets,100K,1.2M,4.7M,8.9M,7.4M
Total Assets,12.38B,12.71B,12.94B,13B,12.37B
Total Assets Growth,-,2.60%,1.82%,0.48%,-4.81%
Return On Average Assets,-,-,-,-,3.22%
