Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,3.27B,2.32B,4.88B,7.09B,6.9B
Cash & Short Term Investments Growth,-,-28.97%,110.48%,45.20%,-2.68%
Cash Only,3.27B,2.32B,4.88B,7.09B,6.9B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,6.24%,4.26%,6.64%,8.56%,8.02%
Total Accounts Receivable,8.48B,9.12B,10.56B,12.64B,12.49B
Total Accounts Receivable Growth,-,7.49%,15.82%,19.73%,-1.23%
"Accounts Receivables, Net",8.48B,9.12B,10.1B,12.07B,11.86B
"Accounts Receivables, Gross",8.88B,9.42B,10.49B,12.81B,12.56B
Bad Debt/Doubtful Accounts,(401M),(300M),(390M),(742M),(692M)
Other Receivable,-,-,456M,572M,623M
Accounts Receivable Turnover,7.72,7.65,6.56,6.63,7.49
Inventories,525M,553M,572M,587M,637M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,525M,553M,572M,587M,637M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.07B,1.1B,372M,265M,345M
Miscellaneous Current Assets,1.07B,1.1B,372M,265M,345M
Total Current Assets,13.34B,13.09B,16.38B,20.58B,20.37B
"Net Property, Plant & Equipment",28.15B,30.43B,47.53B,51.14B,54.7B
"Property, Plant & Equipment - Gross",55.12B,59.51B,78.94B,85.46B,91.89B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,5.79B,6.27B,6.88B,7.49B,8.1B
"Other Property, Plant & Equipment",11.14B,11.7B,13.14B,14.03B,14.57B
Accumulated Depreciation,26.97B,29.08B,31.42B,34.33B,37.18B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,6.97B,6.88B,6.37B,6.99B,6.54B
Net Goodwill,6.97B,6.88B,6.37B,6.99B,6.54B
Net Other Intangibles,-,-,-,-,-
Other Assets,2.6B,2.66B,1.91B,2.65B,3.17B
Total Assets,52.33B,54.4B,73.54B,82.78B,85.99B
Total Assets Growth,-,3.96%,35.17%,12.57%,3.89%
