Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,703M,1.15B,1.96B,2.01B,2.19B
Cash & Short Term Investments Growth,-,63.87%,70.05%,2.60%,8.86%
Cash Only,703M,1.15B,1.96B,2.01B,2.19B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.96%,1.37%,2.34%,2.42%,3.46%
Total Accounts Receivable,2.04B,4.35B,4.43B,4.13B,4.19B
Total Accounts Receivable Growth,-,113.03%,1.91%,-6.90%,1.57%
"Accounts Receivables, Net",1.6B,3.37B,3.45B,3.77B,3.7B
"Accounts Receivables, Gross",1.61B,3.43B,3.54B,3.85B,3.77B
Bad Debt/Doubtful Accounts,(17M),(60M),(82M),(76M),(75M)
Other Receivable,447M,984M,979M,355M,493M
Accounts Receivable Turnover,4.12,2.38,2.83,3.36,3.47
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,988M,3.19B,3.51B,4.57B,6.44B
Miscellaneous Current Assets,988M,3.19B,3.51B,4.57B,6.44B
Total Current Assets,3.73B,8.69B,9.9B,10.71B,12.82B
"Net Property, Plant & Equipment",587M,1.46B,1.42B,1.41B,1.18B
"Property, Plant & Equipment - Gross",1.65B,2.74B,2.83B,2.98B,2.69B
Buildings,235M,275M,295M,397M,441M
Land & Improvements,31M,34M,48M,46M,40M
Computer Software and Equipment,1.05B,1.38B,1.62B,1.75B,1.64B
"Other Property, Plant & Equipment",332M,486M,327M,323M,258M
Accumulated Depreciation,1.06B,1.28B,1.41B,1.57B,1.52B
Total Investments and Advances,-,-,137M,358M,723M
Other Long-Term Investments,-,-,-,358M,723M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,18.47B,71.24B,70.57B,68.17B,46.47B
Net Goodwill,13.55B,52.24B,53.27B,53.33B,34.28B
Net Other Intangibles,4.93B,19B,17.3B,14.84B,12.19B
Other Assets,946M,2.41B,1.78B,2.24B,2.06B
Total Assets,23.77B,83.81B,83.84B,82.93B,63.28B
Total Assets Growth,-,252.57%,0.04%,-1.09%,-23.70%
