Item,2022,2021,2020,2019,2018
Cash & Short Term Investments,24.87B,28.07B,43.85B,45.7B,31.12B
Cash & Short Term Investments Growth,-,12.85%,56.23%,4.22%,-31.89%
Cash Only,17.26B,15.77B,36.53B,35.81B,31.12B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.24%,14.11%,17.11%,17.14%,9.74%
Total Accounts Receivable,21.06B,20.5B,22.46B,27.67B,29.49B
Total Accounts Receivable Growth,-,-2.67%,9.53%,23.22%,6.57%
"Accounts Receivables, Net",-,-,32.31B,25.04B,22.34B
"Accounts Receivables, Gross",-,-,33.48B,26.78B,23.68B
Bad Debt/Doubtful Accounts,-,-,(1.16B),(1.75B),(1.33B)
Other Receivable,-,-,(9.86B),2.64B,7.14B
Accounts Receivable Turnover,3.64,3.62,3.38,3.44,3.34
Inventories,17.4B,15.85B,15.89B,17.22B,13.8B
Finished Goods,-,-,5.65B,5.33B,5.75B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,7.94B,8.77B,8.06B
Progress Payments & Other,-,-,2.3B,3.11B,-
Other Current Assets,2.9B,1.93B,2.66B,12.51B,-
Miscellaneous Current Assets,-,-,2.66B,12.51B,-
Total Current Assets,66.23B,66.35B,84.85B,103.1B,74.41B
"Net Property, Plant & Equipment",14.48B,15.61B,16.7B,45.88B,43.61B
"Property, Plant & Equipment - Gross",-,-,32.1B,78.19B,75.62B
Buildings,-,-,8.3B,7.97B,8.61B
Land & Improvements,-,-,602M,608M,700M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,(1.28B),(909M)
Accumulated Depreciation,-,-,15.4B,32.32B,32.01B
Total Investments and Advances,36.05B,42.21B,42.55B,44.87B,33.51B
Other Long-Term Investments,-,-,42.55B,44.87B,33.51B
Long-Term Note Receivables,-,-,-,8.98B,10.88B
Intangible Assets,33.42B,35.51B,35.2B,37.39B,46.15B
Net Goodwill,-,-,25.52B,26.73B,33.97B
Net Other Intangibles,7.63B,9.33B,9.67B,10.65B,12.18B
Other Assets,25.9B,28.34B,62.66B,15.07B,90.39B
Total Assets,187.79B,198.87B,256.21B,266.68B,319.65B
Total Assets Growth,-,5.90%,28.83%,4.08%,19.86%
