Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,2.36B,2.43B,2.67B,2.15B,1.67B
Cash & Short Term Investments Growth,-,3.35%,9.78%,-19.61%,-22.21%
Cash Only,2.36B,2.43B,2.67B,2.15B,1.67B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,8.56%,8.42%,8.68%,7.12%,5.66%
Total Accounts Receivable,1.94B,1.84B,2.13B,2B,1.72B
Total Accounts Receivable Growth,-,-5.36%,16.18%,-6.05%,-14.12%
"Accounts Receivables, Net",1.94B,1.84B,2.13B,2B,1.72B
"Accounts Receivables, Gross",2B,1.92B,2.18B,2.05B,1.76B
Bad Debt/Doubtful Accounts,(64M),(81M),(46M),(42M),(40M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,5.82,6.27,5.30,7.02,8.21
Inventories,2.04B,2.32B,2.44B,2.48B,2.9B
Finished Goods,854M,973M,1.24B,1.22B,1.32B
Work in Progress,386M,421M,357M,358M,571M
Raw Materials,797M,926M,845M,908M,1.02B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,702M,873M,761M,1.03B,1.16B
Miscellaneous Current Assets,702M,873M,761M,1.03B,1.16B
Total Current Assets,7.03B,7.46B,8B,7.66B,7.45B
"Net Property, Plant & Equipment",14.9B,15.84B,16.42B,16.55B,16.21B
"Property, Plant & Equipment - Gross",26.83B,28.84B,30.09B,30.51B,30.36B
Buildings,5.92B,6.02B,6.45B,6.15B,5.96B
Land & Improvements,467M,452M,471M,441M,420M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,11.93B,13B,13.66B,13.97B,14.15B
Total Investments and Advances,421M,426M,558M,482M,584M
Other Long-Term Investments,67M,135M,300M,218M,323M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.23B,3.12B,3.77B,3.57B,3.42B
Net Goodwill,1.94B,1.94B,2.46B,2.42B,2.39B
Net Other Intangibles,1.29B,1.19B,1.31B,1.15B,1.03B
Other Assets,976M,891M,902M,833M,753M
Total Assets,27.51B,28.9B,30.78B,30.15B,29.5B
Total Assets Growth,-,5.06%,6.50%,-2.02%,-2.17%
