Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,10.91B,10.42B,15.22B,11.52B,10.11B
Cash & Short Term Investments Growth,-,-4.53%,46.12%,-24.29%,-12.26%
Cash Only,9.29B,9.07B,14.28B,10.96B,9.63B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,18.88%,17.75%,23.57%,17.87%,16.23%
Total Accounts Receivable,7.51B,7.79B,7B,7.01B,7.62B
Total Accounts Receivable Growth,-,3.76%,-10.10%,0.11%,8.70%
"Accounts Receivables, Net",7.51B,7.49B,6.83B,6.83B,7.44B
"Accounts Receivables, Gross",7.71B,7.64B,7.03B,7.01B,7.77B
Bad Debt/Doubtful Accounts,(197M),(146M),(202M),(177M),(326M)
Other Receivable,-,297M,176M,181M,181M
Accounts Receivable Turnover,5.57,4.71,4.66,4.90,4.65
Inventories,4.33B,4.42B,4.49B,5.14B,5.54B
Finished Goods,2.45B,2.59B,2.61B,2.93B,3.08B
Work in Progress,811M,817M,798M,861M,1.05B
Raw Materials,1.11B,1.06B,1.08B,1.35B,1.41B
Progress Payments & Other,(39M),(45M),-,-,-
Other Current Assets,1.62B,1.68B,1.46B,1.7B,1.71B
Miscellaneous Current Assets,1.62B,1.68B,1.46B,1.7B,1.71B
Total Current Assets,24.36B,24.3B,28.18B,25.37B,24.98B
"Net Property, Plant & Equipment",5.3B,6B,6.34B,6.51B,6.35B
"Property, Plant & Equipment - Gross",13.41B,14.39B,15.11B,15.4B,15.64B
Buildings,3.13B,3.15B,3.25B,3.23B,3.39B
Land & Improvements,262M,251M,259M,226M,216M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,8.11B,8.39B,8.77B,8.89B,9.29B
Total Investments and Advances,409M,459M,548M,1.05B,716M
Other Long-Term Investments,409M,459M,548M,1.05B,716M
Long-Term Note Receivables,770M,1.91B,137M,170M,229M
Intangible Assets,19.69B,19.3B,19.62B,21.37B,20.72B
Net Goodwill,15.55B,15.56B,16.06B,17.76B,17.5B
Net Other Intangibles,4.14B,3.73B,3.56B,3.61B,3.22B
Other Assets,6.87B,6.62B,8.64B,9.51B,8.86B
Total Assets,57.77B,58.68B,64.59B,64.47B,62.28B
Total Assets Growth,-,1.57%,10.07%,-0.18%,-3.40%
