Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.54B,1.57B,2.34B,807M,667M
Cash & Short Term Investments Growth,-,2.01%,48.44%,-65.44%,-17.35%
Cash Only,1.54B,1.57B,2.34B,807M,667M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,71M,63M,22M,113M,507M
Short Term Receivables Growth,-,-11.27%,-65.08%,413.64%,348.67%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,1M,1M,2M,2M,7M
"Net Property, Plant & Equipments",9.76B,10.27B,10.01B,551M,556M
Other Assets (Including Intangibles),668M,346M,497M,843M,652M
Other Assets,668M,346M,497M,843M,652M
Intangible Assets,-,-,-,-,-
Total Assets,12.09B,12.31B,12.89B,12.35B,12.27B
Total Assets Growth,-,1.78%,4.75%,-4.17%,-0.67%
Return On Average Assets,-,-,-,-,5.14%
