Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,673.4M,1.19B,2.51B,3.27B,2.55B
Cash & Short Term Investments Growth,-,77.04%,110.45%,30.33%,-22.16%
Cash Only,673.4M,1.19B,2.51B,3.27B,2.55B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.31%,6.72%,13.91%,16.42%,13.51%
Total Accounts Receivable,7.03B,7.14B,6.47B,7.52B,7.34B
Total Accounts Receivable Growth,-,1.65%,-9.47%,16.36%,-2.47%
"Accounts Receivables, Net",7.03B,7.14B,6.47B,7.52B,7.34B
"Accounts Receivables, Gross",7.07B,7.18B,6.57B,7.59B,7.39B
Bad Debt/Doubtful Accounts,(42.5M),(40.2M),(98.3M),(68.5M),(48.6M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.38,1.43,1.40,1.36,1.49
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,482.3M,435.2M,391.5M,436.9M,440.9M
Miscellaneous Current Assets,482.3M,435.2M,391.5M,436.9M,440.9M
Total Current Assets,8.18B,8.77B,9.37B,11.23B,10.33B
"Net Property, Plant & Equipment",790.9M,2.35B,2.07B,2.22B,1.91B
"Property, Plant & Equipment - Gross",1.83B,3.47B,3.2B,3.42B,3.16B
Buildings,146.6M,143.3M,144.9M,139.1M,131.4M
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,368.5M,422M,470.1M,513.5M,581.4M
"Other Property, Plant & Equipment",1.31B,1.33B,1.21B,1.22B,1.17B
Accumulated Depreciation,1.03B,1.12B,1.13B,1.2B,1.24B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.97B,5.91B,5.88B,5.76B,5.87B
Net Goodwill,4.88B,4.89B,4.95B,4.91B,5.05B
Net Other Intangibles,1.09B,1.01B,933.6M,847.5M,818.1M
Other Assets,428.9M,467.9M,424.4M,399.6M,464.5M
Total Assets,15.62B,17.75B,18.04B,19.91B,18.85B
Total Assets Growth,-,13.65%,1.64%,10.34%,-5.35%
