Item,2022,2021,2020,2019,2018
Cash & Short Term Investments,1.46B,2.18B,1.87B,1.73B,1.83B
Cash & Short Term Investments Growth,-,49.16%,-14.16%,-7.28%,5.79%
Cash Only,1.43B,2.15B,1.84B,1.7B,1.81B
Total Short-Term Investments,25.7M,30.4M,29.9M,32M,28.1M
Short-Term Receivables,801.8M,877.8M,850.5M,1.02B,795.3M
Short Term Receivables Growth,-,9.48%,-3.11%,19.73%,-21.90%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,-,-,-,-,-
"Net Property, Plant & Equipments",921.9M,774.7M,839.5M,908.5M,468.7M
Other Assets (Including Intangibles),17.04B,18.9B,24.23B,27.15B,20.93B
Other Assets,1.34B,2.79B,8.01B,11.29B,11.6B
Intangible Assets,15.7B,16.11B,16.22B,15.87B,9.33B
Total Assets,29.76B,32.69B,36.5B,39.42B,30.98B
Total Assets Growth,-,9.84%,11.68%,7.99%,-21.42%
Return On Average Assets,-,-,-,-,2.95%
