Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,129M,101M,255M,568M,535M
Cash & Short Term Investments Growth,-,-21.71%,152.48%,122.75%,-5.81%
Cash Only,129M,101M,255M,568M,535M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.26%,0.20%,0.51%,1.12%,1.03%
Total Accounts Receivable,1.22B,1.18B,1.14B,1.27B,1.67B
Total Accounts Receivable Growth,-,-3.19%,-3.38%,11.36%,30.93%
"Accounts Receivables, Net",1.15B,1.12B,1.05B,1.15B,1.48B
"Accounts Receivables, Gross",1.16B,1.12B,1.07B,1.16B,1.49B
Bad Debt/Doubtful Accounts,(8M),(9M),(21M),(7M),(9M)
Other Receivable,73M,69M,96M,126M,184M
Accounts Receivable Turnover,6.09,9.39,10.16,9.96,8.43
Inventories,669M,703M,817M,966M,1.4B
Finished Goods,415M,447M,520M,577M,858M
Work in Progress,7M,8M,6M,6M,8M
Raw Materials,247M,264M,315M,402M,564M
Progress Payments & Other,-,(16M),(24M),(19M),(27M)
Other Current Assets,138M,285M,172M,249M,198M
Miscellaneous Current Assets,97M,256M,123M,237M,105M
Total Current Assets,2.16B,2.27B,2.39B,3.06B,3.8B
"Net Property, Plant & Equipment",2.31B,2.53B,2.86B,3.17B,3.37B
"Property, Plant & Equipment - Gross",2.99B,3.25B,3.88B,4.52B,5.02B
Buildings,723M,473M,520M,793M,720M
Land & Improvements,138M,55M,54M,50M,44M
Computer Software and Equipment,231M,241M,315M,404M,459M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,676M,729M,1.02B,1.35B,1.65B
Total Investments and Advances,336M,221M,142M,92M,1.19B
Other Long-Term Investments,149M,69M,53M,62M,140M
Long-Term Note Receivables,17M,50M,-,-,-
Intangible Assets,43.98B,44.29B,44.15B,44.04B,43.26B
Net Goodwill,20.01B,20.17B,20.18B,20.18B,20.07B
Net Other Intangibles,23.97B,24.12B,23.97B,23.86B,23.18B
Other Assets,92M,131M,195M,202M,182M
Total Assets,48.92B,49.52B,49.78B,50.6B,51.84B
Total Assets Growth,-,1.23%,0.53%,1.65%,2.45%
