Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,369M,717M,687M,875M,683M
Cash & Short Term Investments Growth,-,94.31%,-4.18%,27.37%,-21.94%
Cash Only,369M,717M,687M,875M,683M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.10%,7.42%,5.49%,6.60%,5.23%
Total Accounts Receivable,1.88B,1.73B,2.14B,2.19B,2.35B
Total Accounts Receivable Growth,-,-7.62%,23.24%,2.43%,7.35%
"Accounts Receivables, Net",1.88B,1.73B,2.14B,2.19B,2.35B
"Accounts Receivables, Gross",1.89B,1.76B,2.18B,2.22B,2.38B
Bad Debt/Doubtful Accounts,(8M),(24M),(39M),(27M),(28M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,5.43,6.40,5.75,6.28,6.13
Inventories,-,-,276M,274M,287M
Finished Goods,-,-,99M,93M,73M
Work in Progress,-,-,41M,27M,34M
Raw Materials,-,-,136M,154M,180M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,407M,257M,128M,166M,191M
Miscellaneous Current Assets,407M,257M,128M,166M,191M
Total Current Assets,2.65B,2.71B,3.23B,3.5B,3.51B
"Net Property, Plant & Equipment",237M,687M,1.19B,1.28B,1.39B
"Property, Plant & Equipment - Gross",586M,1.03B,1.58B,1.75B,1.92B
Buildings,56M,23M,142M,140M,138M
Land & Improvements,40M,4M,18M,18M,17M
Computer Software and Equipment,233M,259M,386M,472M,399M
"Other Property, Plant & Equipment",242M,240M,381M,432M,468M
Accumulated Depreciation,349M,343M,395M,470M,532M
Total Investments and Advances,26M,21M,15M,25M,38M
Other Long-Term Investments,-,2M,-,-,20M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.51B,5.44B,7.53B,7.92B,7.65B
Net Goodwill,4.86B,4.91B,6.31B,6.74B,6.7B
Net Other Intangibles,652M,530M,1.22B,1.18B,952M
Other Assets,342M,509M,554M,529M,482M
Total Assets,8.99B,9.66B,12.51B,13.26B,13.07B
Total Assets Growth,-,7.41%,29.54%,5.99%,-1.43%
