Item,2022,2021,2020,2019,2018
Cash & Short Term Investments,2.55B,3.6B,3.16B,1.51B,772M
Cash & Short Term Investments Growth,-,41.50%,-12.32%,-52.09%,-49.01%
Cash Only,2.55B,3.6B,3.16B,1.51B,772M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.82%,7.08%,6.23%,3.19%,1.72%
Total Accounts Receivable,14.82B,12.54B,11.52B,11.43B,11.92B
Total Accounts Receivable Growth,-,-15.39%,-8.12%,-0.80%,4.24%
"Accounts Receivables, Net",-,-,-,-,-
"Accounts Receivables, Gross",-,-,-,-,-
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,4.45,5.35,5.68,5.23,4.51
Inventories,3.09B,2.98B,3.55B,3.62B,3B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,533M,688M,1.15B,531M,418M
Miscellaneous Current Assets,-,-,-,-,-
Total Current Assets,20.99B,19.82B,19.38B,17.1B,16.1B
"Net Property, Plant & Equipment",9.08B,8.9B,8.21B,7.59B,6.12B
"Property, Plant & Equipment - Gross",-,-,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,-,-
Total Investments and Advances,2.29B,2.79B,2.78B,3B,2.5B
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,618M,645M,685M,703M,750M
Intangible Assets,14.16B,14.3B,14.5B,14.33B,14.71B
Net Goodwill,-,-,-,-,-
Net Other Intangibles,3.38B,3.48B,3.7B,3.72B,3.94B
Other Assets,2.01B,2.14B,1.67B,1.49B,1.48B
Total Assets,52.88B,50.87B,50.71B,47.53B,44.88B
Total Assets Growth,-,-3.80%,-0.32%,-6.27%,-5.58%
