Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,492M,1.69B,409M,356M,1.25B
Cash & Short Term Investments Growth,-,244.11%,-75.84%,-12.96%,251.40%
Cash Only,492M,1.69B,409M,356M,1.25B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.70%,2.61%,0.69%,0.61%,2.74%
Total Accounts Receivable,2.62B,2.34B,2.04B,1.72B,1.5B
Total Accounts Receivable Growth,-,-10.98%,-12.89%,-15.33%,-13.12%
"Accounts Receivables, Net",2.51B,2.28B,1.94B,1.58B,1.43B
"Accounts Receivables, Gross",2.65B,2.39B,2.13B,1.7B,1.55B
Bad Debt/Doubtful Accounts,(142M),(106M),(191M),(114M),(114M)
Other Receivable,113M,55M,98M,140M,65M
Accounts Receivable Turnover,8.93,9.19,10.18,11.43,11.68
Inventories,120M,105M,105M,96M,236M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,120M,105M,105M,96M,236M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,417M,341M,340M,9.11B,2.21B
Miscellaneous Current Assets,110M,67M,50M,8.82B,1.89B
Total Current Assets,3.65B,4.48B,2.89B,11.29B,5.2B
"Net Property, Plant & Equipment",26.41B,27.77B,28.04B,20.9B,19.17B
"Property, Plant & Equipment - Gross",53.27B,57.11B,59.63B,40.17B,39.05B
Buildings,8.02B,7.98B,8.26B,7.18B,6.86B
Land & Improvements,871M,867M,848M,751M,651M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",18.74B,19.61B,20.69B,15.39B,15.08B
Accumulated Depreciation,26.86B,29.35B,31.6B,19.27B,-
Total Investments and Advances,176M,-,-,13M,12M
Other Long-Term Investments,176M,-,-,13M,12M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,38.81B,31.1B,27.09B,22.96B,18.82B
Net Goodwill,28.03B,21.53B,18.87B,15.99B,12.66B
Net Other Intangibles,10.78B,9.57B,8.22B,6.97B,6.17B
Other Assets,1.21B,1.4B,1.38B,2.84B,2.38B
Total Assets,70.26B,64.74B,59.39B,57.99B,45.58B
Total Assets Growth,-,-7.85%,-8.26%,-2.36%,-21.40%
