Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,595M,362M,2.78B,422M,524M
Cash & Short Term Investments Growth,-,-39.16%,668.51%,-84.83%,24.17%
Cash Only,586M,362M,2.78B,422M,524M
Total Short-Term Investments,9M,-,-,-,-
Short-Term Receivables,384M,422M,566M,588M,677M
Short Term Receivables Growth,-,9.90%,34.12%,3.89%,15.14%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,303M,340M,255M,275M,267M
"Net Property, Plant & Equipments",376M,730M,856M,875M,976M
Other Assets (Including Intangibles),13.9B,11.91B,13.3B,17.59B,18.03B
Other Assets,5.24B,3.3B,4.2B,6.35B,7.35B
Intangible Assets,8.66B,8.62B,9.11B,11.25B,10.68B
Total Assets,15.7B,13.92B,17.98B,20.12B,20.87B
Total Assets Growth,-,-11.31%,29.12%,11.88%,3.74%
Return On Average Assets,-,-,-,-,5.49%
