Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,3.45B,2.48B,5.83B,5.08B,3.76B
Cash & Short Term Investments Growth,-,-27.95%,134.97%,-12.96%,-25.97%
Cash Only,3.4B,2.25B,5.54B,4.99B,2.88B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,16.63%,6.21%,14.10%,12.51%,9.77%
Total Accounts Receivable,346M,373M,449M,337M,366M
Total Accounts Receivable Growth,-,7.80%,20.38%,-24.94%,8.61%
"Accounts Receivables, Net",254M,373M,449M,337M,366M
"Accounts Receivables, Gross",254M,373M,449M,337M,366M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,92M,-,-,-,-
Accounts Receivable Turnover,20.99,26.08,25.43,36.17,32.65
Inventories,1.33B,1.83B,1.79B,1.79B,1.75B
Finished Goods,758M,908M,866M,915M,821M
Work in Progress,104M,189M,148M,132M,123M
Raw Materials,465M,729M,776M,740M,809M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,159M,1.59B,434M,496M,638M
Miscellaneous Current Assets,159M,1.59B,434M,496M,638M
Total Current Assets,5.28B,6.27B,8.51B,7.7B,6.52B
"Net Property, Plant & Equipment",12.26B,25.32B,24.28B,24.12B,24.07B
"Property, Plant & Equipment - Gross",27.37B,37.01B,38.18B,40.11B,42.23B
Buildings,-,-,-,-,-
Land & Improvements,222M,193M,195M,260M,281M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",24.89B,33.94B,34.85B,36.93B,38.18B
Accumulated Depreciation,15.11B,11.69B,13.9B,15.99B,18.15B
Total Investments and Advances,271M,3.36B,3.34B,3.39B,3.34B
Other Long-Term Investments,79M,285M,522M,457M,292M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,2.67B,2.77B,2.77B,1.97B
Net Goodwill,-,2.67B,2.77B,2.77B,1.97B
Net Other Intangibles,-,-,-,-,-
Other Assets,2.51B,1.8B,2.13B,2.31B,2.41B
Total Assets,20.72B,39.97B,41.37B,40.56B,38.48B
Total Assets Growth,-,92.97%,3.49%,-1.95%,-5.13%
