Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,11.98M,20.96M,524.5M,146.39M,220.23M
Cash & Short Term Investments Growth,-,75.01%,"2,402.61%",-72.09%,50.44%
Cash Only,11.98M,20.96M,524.5M,146.39M,220.23M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.07%,0.10%,2.27%,0.62%,0.90%
Total Accounts Receivable,820.66M,836.42M,829.8M,1.44B,1.53B
Total Accounts Receivable Growth,-,1.92%,-0.79%,73.75%,6.28%
"Accounts Receivables, Net",820.66M,836.42M,829.8M,1.44B,1.53B
"Accounts Receivables, Gross",820.66M,836.42M,829.8M,1.44B,1.53B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,15.38,12.09,10.19,11.98,14.93
Inventories,437.84M,506.68M,370.99M,580.9M,580.73M
Finished Goods,296.67M,304.93M,227.81M,427.88M,431.74M
Work in Progress,-,-,-,-,-
Raw Materials,141.17M,201.75M,143.18M,153.02M,148.99M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,128.16M,106.28M,144.5M,205.3M,214.53M
Miscellaneous Current Assets,128.16M,106.28M,144.5M,205.3M,214.53M
Total Current Assets,1.4B,1.47B,1.87B,2.37B,2.55B
"Net Property, Plant & Equipment",14.77B,18.36B,19.26B,19.41B,20.04B
"Property, Plant & Equipment - Gross",18.03B,22.07B,23.17B,23.91B,25.1B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,3.26B,3.7B,3.92B,4.5B,5.06B
Total Investments and Advances,970.24M,864.02M,805.03M,797.61M,801.79M
Other Long-Term Investments,1.09M,2.17M,-,-,-
Long-Term Note Receivables,4.5M,3.7M,-,-,-
Intangible Assets,967.14M,957.83M,773.72M,763.3M,752.87M
Net Goodwill,681.1M,681M,527.59M,527.59M,527.59M
Net Other Intangibles,286.04M,276.84M,246.13M,235.7M,225.28M
Other Assets,124.51M,152.41M,375.14M,276.9M,241.29M
Total Assets,18.23B,21.81B,23.08B,23.62B,24.38B
Total Assets Growth,-,19.64%,5.81%,2.35%,3.21%
