Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,3.02B,1.61B,2.51B,3.15B,6.13B
Cash & Short Term Investments Growth,-,-46.54%,55.76%,25.18%,94.88%
Cash Only,3.02B,1.61B,2.51B,3.15B,6.13B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.56%,2.75%,4.59%,5.66%,8.02%
Total Accounts Receivable,6.17B,8.51B,6.52B,7.47B,10.99B
Total Accounts Receivable Growth,-,37.86%,-23.36%,14.54%,47.05%
"Accounts Receivables, Net",6.17B,8.51B,6.52B,7.47B,10.99B
"Accounts Receivables, Gross",6.2B,8.55B,6.56B,7.51B,11.05B
Bad Debt/Doubtful Accounts,(22M),(41M),(37M),(44M),(67M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,18.03,12.63,9.77,14.99,15.49
Inventories,3.54B,3.78B,3.89B,3.39B,3.28B
Finished Goods,3.24B,3.45B,3.54B,3.02B,2.91B
Work in Progress,-,-,-,-,-
Raw Materials,305M,324M,357M,370M,362M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,474M,495M,347M,686M,1.53B
Miscellaneous Current Assets,474M,495M,347M,686M,1.53B
Total Current Assets,13.21B,14.4B,13.28B,14.7B,21.92B
"Net Property, Plant & Equipment",22.02B,25.1B,24.93B,23.49B,36.16B
"Property, Plant & Equipment - Gross",35.2B,39.38B,41.43B,40.85B,53.99B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",35.2B,38.07B,40.22B,39.8B,52.99B
Accumulated Depreciation,13.18B,14.29B,16.51B,17.36B,17.83B
Total Investments and Advances,14.33B,14.42B,13.18B,13.51B,14.67B
Other Long-Term Investments,108M,133M,146M,682M,252M
Long-Term Note Receivables,97M,157M,442M,959M,329M
Intangible Assets,4.14B,4.14B,2.27B,2.3B,2.32B
Net Goodwill,3.27B,3.27B,1.43B,1.48B,1.49B
Net Other Intangibles,869M,869M,843M,813M,831M
Other Assets,513M,514M,625M,642M,1.05B
Total Assets,54.3B,58.72B,54.72B,55.59B,76.44B
Total Assets Growth,-,8.14%,-6.81%,1.60%,37.50%
