Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,286.88M,298.57M,304.09M,327.03M,272.88M
Cash & Short Term Investments Growth,-,4.07%,1.85%,7.55%,-16.56%
Cash Only,261.05M,270.68M,275.96M,327.03M,272.88M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,12.32%,11.21%,8.99%,7.26%,5.82%
Total Accounts Receivable,154.33M,393.78M,427.21M,554.01M,653.46M
Total Accounts Receivable Growth,-,155.15%,8.49%,29.68%,17.95%
"Accounts Receivables, Net",154.33M,393.78M,427.21M,554.01M,653.46M
"Accounts Receivables, Gross",154.94M,394.53M,427.75M,554.31M,653.82M
Bad Debt/Doubtful Accounts,(607K),(744K),(543K),(304K),(362K)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,8.05,3.19,3.41,3.26,2.96
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,192.57M,62.57M,68.26M,151.77M,101.62M
Miscellaneous Current Assets,143.57M,9.87M,(1.15M),81.78M,12.77M
Total Current Assets,633.78M,754.92M,799.55M,1.03B,1.03B
"Net Property, Plant & Equipment",80.61M,105.53M,251.43M,252.57M,235.88M
"Property, Plant & Equipment - Gross",392.77M,440.07M,610.46M,630.57M,627.67M
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,324.77M,313.97M,330.39M,352.7M,364.76M
"Other Property, Plant & Equipment",68.01M,126.1M,130.13M,125.53M,125.13M
Accumulated Depreciation,312.16M,334.54M,359.03M,377.99M,391.79M
Total Investments and Advances,31.82M,38.94M,44.77M,-,1M
Other Long-Term Investments,31.82M,38.94M,44.77M,-,1M
Long-Term Note Receivables,-,-,-,-,4.2M
Intangible Assets,1.38B,1.41B,1.86B,2.57B,2.74B
Net Goodwill,1.18B,1.24B,1.63B,2.19B,2.35B
Net Other Intangibles,200.2M,169.95M,237.57M,378.97M,382.72M
Other Assets,34.59M,158.43M,232.67M,353.53M,425.77M
Total Assets,2.33B,2.66B,3.38B,4.51B,4.69B
Total Assets Growth,-,14.41%,26.95%,33.25%,3.99%
