Item,2022,2021,2020,2019,2018
Cash & Short Term Investments,10.87B,9.5B,13.08B,10.76B,9.11B
Cash & Short Term Investments Growth,-,-12.59%,37.72%,-17.75%,-15.35%
Cash Only,7.79B,5.31B,4.88B,7.41B,7.65B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.81%,12.53%,18.59%,20.96%,21.02%
Total Accounts Receivable,44.75B,41.79B,36.76B,26.93B,22.91B
Total Accounts Receivable Growth,-,-6.62%,-12.02%,-26.74%,-14.95%
"Accounts Receivables, Net",-,-,-,-,-
"Accounts Receivables, Gross",-,-,-,-,-
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,7.43B,4.85B,2.77B,3.97B,2.53B
Accounts Receivable Turnover,0.60,0.61,0.58,0.65,0.68
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.9B,1.29B,1.15B,800M,947M
Miscellaneous Current Assets,-,-,-,-,-
Total Current Assets,57.52B,52.57B,51B,38.5B,32.96B
"Net Property, Plant & Equipment",2.3B,2.57B,2.51B,1.69B,1.72B
"Property, Plant & Equipment - Gross",-,-,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,-,-
Total Investments and Advances,5.03B,6.82B,6.09B,2.86B,971M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,12B,12.79B,10.18B,6.99B,7.11B
Net Goodwill,-,-,-,-,-
Net Other Intangibles,788M,1.33B,1.05B,778M,825M
Other Assets,556M,510M,456M,896M,341M
Total Assets,78.72B,75.8B,70.38B,51.33B,43.33B
Total Assets Growth,-,-3.70%,-7.16%,-27.06%,-15.59%
