Item,2018,2019,2020,2021,2022
Total Cash & Due from Banks,269.2M,702.28M,12.21B,29.55B,5.87B
Cash & Due from Banks Growth,-,160.87%,"1,638.49%",142.01%,-80.12%
Investments - Total,10.01B,9.89B,11.95B,22.82B,27.65B
Investments Growth,-,-1.22%,20.86%,91.00%,21.16%
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,32.89M,20.14M,10M,9.98M,145.65M
Federal Agency Securities,-,-,49.95M,1.99B,2.63B
State & Municipal Securities,6.55M,10.06M,99.26M,250.37M,247.28M
Mortgage Backed Securities,8.1B,8.1B,9.57B,17.51B,20.63B
Other Securities,1.07B,1.14B,1.47B,2.42B,2.74B
Other Investments,801.86M,617.37M,750.86M,645.58M,1.25B
Net Loans,36.19B,38.86B,48.32B,64.39B,73.8B
Gross Loans - Net of Unearned Income,36.42B,39.11B,48.83B,64.86B,74.29B
Commercial & Industrial Loans,8B,11.89B,21.19B,36.1B,40.76B
Consumer & Installment Loans,9.04M,9.61M,7.04M,7.51M,7.63M
Real Estate Mortgage Loans,28.39B,27.18B,27.67B,28.83B,33.57B
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,28.55M,27.25M,-,-,-
Unearned Income,-,-,(36.08M),(76.59M),(50.72M)
Loan Loss Allowances (Reserves),(230.01M),(249.99M),(508.3M),(474.39M),(489.86M)
Customer Liability on Acceptances,-,-,-,-,-
Loans - 1 Yr Growth Rate,-,7.37%,24.36%,33.24%,14.62%
Loans (Total) / Total Deposits,-,-,-,-,-
Loans (Total) / Total Assets,-,-,-,-,-
"Net Property, Plant & Equipment",59.05M,284M,317.68M,318.22M,366.5M
Other Assets (Including Intangibles),632.54M,666.06M,645.29M,890.41M,1.41B
Other Assets,582.52M,620.15M,612.99M,890.41M,1.41B
Intangible Assets,50.02M,45.91M,32.3M,-,-
Interest Receivables,141.83M,147.53M,277.8M,306.83M,449.82M
Total Assets,47.59B,50.59B,74.1B,118.68B,110.63B
Assets - Total Growth,-,6.32%,46.46%,60.17%,-6.78%
Return On Average Assets,-,-,-,-,1.17%
