Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,271.7M,262.4M,548.7M,561M,456.1M
Cash & Short Term Investments Growth,-,-3.42%,109.11%,2.24%,-18.70%
Cash Only,271.7M,262.4M,548.7M,561M,456.1M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.38%,4.55%,9.02%,9.01%,7.34%
Total Accounts Receivable,613.1M,669.6M,681.7M,732.8M,737.4M
Total Accounts Receivable Growth,-,9.22%,1.81%,7.50%,0.63%
"Accounts Receivables, Net",473.4M,556.5M,541M,620.3M,592.9M
"Accounts Receivables, Gross",482.5M,564.7M,552.7M,631.4M,604.4M
Bad Debt/Doubtful Accounts,(9.1M),(8.2M),(11.7M),(11.1M),(11.5M)
Other Receivable,139.7M,113.1M,140.7M,112.5M,144.5M
Accounts Receivable Turnover,7.72,7.16,7.19,7.55,7.65
Inventories,544.9M,570.3M,596.7M,725.7M,866.3M
Finished Goods,322.6M,334.9M,343.2M,400.1M,449.3M
Work in Progress,142.4M,136.2M,139.7M,158M,187.1M
Raw Materials,79.9M,99.2M,113.8M,167.6M,229.9M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,125.1M,61.7M,54.4M,50.1M,57M
Miscellaneous Current Assets,125.1M,61.7M,54.4M,50.1M,57M
Total Current Assets,1.55B,1.56B,1.88B,2.07B,2.12B
"Net Property, Plant & Equipment",1.04B,1.23B,1.27B,1.3B,1.37B
"Property, Plant & Equipment - Gross",3.39B,3.61B,3.74B,3.78B,3.91B
Buildings,728.6M,747M,786.5M,790.2M,783.1M
Land & Improvements,41.2M,50.7M,50.8M,47M,44.1M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",135.6M,141.3M,133.5M,124.2M,124.5M
Accumulated Depreciation,2.35B,2.38B,2.47B,2.48B,2.54B
Total Investments and Advances,-,-,-,-,13.3M
Other Long-Term Investments,-,-,-,-,13.3M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.05B,2.4B,2.39B,2.34B,2.31B
Net Goodwill,1.95B,2.22B,2.22B,2.19B,2.17B
Net Other Intangibles,101.7M,182.1M,171M,152.6M,138.4M
Other Assets,239.4M,331.6M,355.8M,383.5M,260.8M
Total Assets,5.05B,5.77B,6.08B,6.23B,6.21B
Total Assets Growth,-,14.16%,5.53%,2.39%,-0.23%
