Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,9.4B,12.15B,11.52B,8.34B,10.29B
Cash & Short Term Investments Growth,-,29.28%,-5.13%,-27.66%,23.47%
Cash Only,9.4B,10.8B,11.52B,8.3B,10.29B
Total Short-Term Investments,-,1.35B,-,37M,-
Short-Term Receivables,-,-,-,-,-
Short Term Receivables Growth,-,-,-,-,-
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,6.87B,5.97B,7.52B,5.57B,4.94B
"Net Property, Plant & Equipments",-,-,-,-,-
Other Assets (Including Intangibles),3.82B,5.09B,5.31B,9.79B,6.39B
Other Assets,1.66B,2.75B,3.1B,7.52B,4B
Intangible Assets,2.16B,2.34B,2.2B,2.27B,2.39B
Total Assets,106.79B,104.83B,95.95B,95.75B,104.56B
Total Assets Growth,-,-1.84%,-8.47%,-0.21%,9.21%
Return On Average Assets,-,-,-,-,3.01%
