Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,142.5M,199.5M,673.1M,474.7M,638.1M
Cash & Short Term Investments Growth,-,40.00%,237.39%,-29.48%,34.42%
Cash Only,142.5M,199.5M,673.1M,474.7M,638.1M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,3.74%,4.36%,13.24%,3.29%,4.45%
Total Accounts Receivable,561.8M,660.9M,624.1M,1.08B,1.16B
Total Accounts Receivable Growth,-,17.64%,-5.57%,73.66%,6.88%
"Accounts Receivables, Net",561.8M,660.9M,624.1M,1.08B,1.16B
"Accounts Receivables, Gross",568.5M,671.1M,636.4M,1.1B,1.17B
Bad Debt/Doubtful Accounts,(6.7M),(10.2M),(12.3M),(13.8M),(11.7M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,5.17,4.79,4.91,4.26,4.73
Inventories,364.3M,393.4M,347.3M,752.9M,890.7M
Finished Goods,50.5M,61.7M,62.5M,150.1M,170.2M
Work in Progress,117.5M,108.3M,60.5M,123M,156.8M
Raw Materials,205.6M,231.2M,231M,479.8M,563.7M
Progress Payments & Other,(9.3M),(7.8M),(6.7M),-,-
Other Current Assets,45.8M,59.9M,78.1M,118M,130.7M
Miscellaneous Current Assets,45.8M,59.9M,78.1M,118M,130.7M
Total Current Assets,1.11B,1.31B,1.72B,2.43B,2.82B
"Net Property, Plant & Equipment",442.6M,615M,489.3M,972M,911.9M
"Property, Plant & Equipment - Gross",1.01B,1.24B,1.16B,1.72B,1.76B
Buildings,254.7M,280.6M,286M,448.9M,436.4M
Land & Improvements,59.6M,68.1M,70M,105.6M,103.6M
Computer Software and Equipment,694.3M,763.1M,806.7M,1.02B,1.08B
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,566M,623.9M,673.4M,743.3M,847.8M
Total Investments and Advances,-,1.6M,7.3M,300K,-
Other Long-Term Investments,-,1.6M,7.3M,300K,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.08B,2.48B,2.56B,10.73B,10.31B
Net Goodwill,1.74B,2.05B,2.15B,7.99B,7.87B
Net Other Intangibles,344.3M,430.8M,409.7M,2.74B,2.44B
Other Assets,172.8M,168.2M,305.9M,300.3M,310.6M
Total Assets,3.81B,4.58B,5.08B,14.43B,14.35B
Total Assets Growth,-,20.23%,11.03%,183.79%,-0.53%
