Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,716.91M,1.61B,1.73B,1.93B,1.02B
Cash & Short Term Investments Growth,-,124.18%,7.67%,11.56%,-47.10%
Cash Only,716.91M,1.61B,1.73B,1.93B,1.02B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,1.01B,837.94M,751.73M,735.98M,776.14M
Short Term Receivables Growth,-,-16.91%,-10.29%,-2.10%,5.46%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,497.99M,260.29M,3.76M,26.66M,655.77M
"Net Property, Plant & Equipments",-,379.55M,367.37M,337.2M,684.38M
Other Assets (Including Intangibles),931.68M,1.09B,939.24M,1.09B,834.84M
Other Assets,794.9M,1.06B,915.39M,930.3M,695.21M
Intangible Assets,136.78M,30.97M,23.86M,154.9M,139.64M
Total Assets,17.18B,18.29B,16.22B,17.27B,16.49B
Total Assets Growth,-,6.44%,-11.29%,6.44%,-4.48%
Return On Average Assets,-,-,-,-,-2.05%
