Item,2022,2021,2020,2019,2018
Cash & Short Term Investments,10.79B,7.53B,6.66B,3.82B,3.17B
Cash & Short Term Investments Growth,-,-30.19%,-11.56%,-42.69%,-16.98%
Cash Only,10.51B,6.8B,5.99B,3.12B,2.65B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,59.43%,56.06%,56.67%,45.88%,50.73%
Total Accounts Receivable,1.44B,1.14B,885.35M,633.52M,414.87M
Total Accounts Receivable Growth,-,-21.18%,-22.12%,-28.44%,-34.51%
"Accounts Receivables, Net",-,-,-,-,-
"Accounts Receivables, Gross",-,-,-,-,-
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,6.07,6.69,7.01,6.52,7.35
Inventories,460.6M,353.1M,280.78M,167.5M,124.36M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,545.5M,540.7M,307.7M,205.51M,135.64M
Miscellaneous Current Assets,-,-,-,-,-
Total Current Assets,13.23B,9.56B,8.13B,4.82B,3.84B
"Net Property, Plant & Equipment",1.46B,1.42B,1.28B,833.28M,812.01M
"Property, Plant & Equipment - Gross",-,-,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,-,-
Total Investments and Advances,99.4M,85.8M,20.8M,44.16M,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.69B,1.4B,1.4B,1.4B,50.38M
Net Goodwill,-,-,-,-,-
Net Other Intangibles,603.6M,400M,400M,400M,-
Other Assets,422.4M,25M,28.59M,25.23M,40.73M
Total Assets,18.15B,13.43B,11.75B,8.32B,6.25B
Total Assets Growth,-,-26.00%,-12.51%,-29.22%,-24.92%
