Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.74B,337.14M,443.15M,569.29M,481.39M
Cash & Short Term Investments Growth,-,-80.57%,31.44%,28.46%,-15.44%
Cash Only,796.28M,335.72M,436.7M,501.23M,480.53M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,46.55%,13.18%,15.60%,18.39%,14.67%
Total Accounts Receivable,568.32M,587.73M,573.32M,612.65M,722.89M
Total Accounts Receivable Growth,-,3.42%,-2.45%,6.86%,17.99%
"Accounts Receivables, Net",568.32M,587.73M,573.32M,612.65M,722.89M
"Accounts Receivables, Gross",575.98M,597.29M,587.7M,625.88M,737.2M
Bad Debt/Doubtful Accounts,(7.66M),(9.56M),(14.38M),(13.23M),(14.31M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,4.26,4.09,4.13,4.55,4.11
Inventories,291.57M,320.55M,304.28M,356.1M,455.71M
Finished Goods,164.38M,178.24M,152.11M,171.13M,230.05M
Work in Progress,15.55M,15.46M,18.68M,19.73M,19.9M
Raw Materials,111.64M,126.85M,133.49M,165.24M,205.76M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,68.05M,67.06M,80.29M,90.91M,103.91M
Miscellaneous Current Assets,68.05M,67.06M,80.29M,90.91M,103.91M
Total Current Assets,2.66B,1.31B,1.4B,1.63B,1.76B
"Net Property, Plant & Equipment",343.08M,510.7M,587.26M,632.65M,668.72M
"Property, Plant & Equipment - Gross",871.87M,1.08B,1.22B,1.31B,1.37B
Buildings,299.1M,355.43M,376.71M,446.06M,444.99M
Land & Improvements,36.55M,37.04M,36.88M,36.43M,34.66M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,528.79M,570.32M,634.14M,673.52M,702.12M
Total Investments and Advances,1.09M,4.49M,-,-,19.16M
Other Long-Term Investments,1.09M,4.49M,-,-,19.16M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,602.52M,596.33M,703.01M,680.27M,657.73M
Net Goodwill,355.61M,356.13M,444.36M,437.87M,430.33M
Net Other Intangibles,246.9M,240.2M,258.65M,242.4M,227.4M
Other Assets,117.57M,133.05M,148.63M,153.08M,171.94M
Total Assets,3.73B,2.56B,2.84B,3.09B,3.28B
Total Assets Growth,-,-31.40%,11.06%,8.98%,6.03%
