Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,975M,1.21B,531M,1.27B,2.56B
Cash & Short Term Investments Growth,-,23.79%,-56.01%,139.17%,101.42%
Cash Only,975M,1.21B,531M,1.27B,1.44B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.43%,1.79%,0.61%,1.56%,2.84%
Total Accounts Receivable,6.57B,7.23B,4.11B,5.66B,5.02B
Total Accounts Receivable Growth,-,9.93%,-43.12%,37.79%,-11.41%
"Accounts Receivables, Net",6.57B,7.23B,4.11B,5.66B,5.02B
"Accounts Receivables, Gross",6.65B,7.32B,4.14B,5.72B,5.08B
Bad Debt/Doubtful Accounts,(75M),(95M),(26M),(53M),(66M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,20.01,18.94,29.68,23.40,26.45
Inventories,9.57B,9.33B,7.92B,8.16B,8.35B
Finished Goods,9.57B,9.33B,7.92B,8.16B,8.35B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,733M,934M,5.52B,722M,974M
Miscellaneous Current Assets,733M,934M,5.52B,722M,974M
Total Current Assets,17.85B,18.7B,18.07B,15.81B,16.9B
"Net Property, Plant & Equipment",13.91B,13.48B,34.25B,34.14B,32.99B
"Property, Plant & Equipment - Gross",24.42B,24.79B,46.38B,47.21B,45.83B
Buildings,7.87B,8.02B,7.8B,7.57B,7B
Land & Improvements,3.59B,3.51B,3.16B,2.8B,2.33B
Computer Software and Equipment,2.46B,2.77B,3.06B,3.62B,3.09B
"Other Property, Plant & Equipment",-,-,9.9B,10.31B,9.38B
Accumulated Depreciation,10.51B,11.31B,12.13B,13.07B,12.84B
Total Investments and Advances,6.61B,6.92B,7.22B,7.49B,5.58B
Other Long-Term Investments,-,73M,16M,501M,83M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,28.7B,27.44B,22.09B,22.36B,33.01B
Net Goodwill,16.91B,16.56B,12.01B,12.42B,22.28B
Net Other Intangibles,11.78B,10.88B,10.07B,9.94B,10.73B
Other Assets,1.06B,1.06B,5.55B,1.49B,1.65B
Total Assets,68.12B,67.6B,87.17B,81.29B,90.12B
Total Assets Growth,-,-0.77%,28.96%,-6.76%,10.87%
