Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,2.37B,3.69B,4.5B,7.07B,6.93B
Net Income Growth,-,55.70%,21.91%,57.31%,-1.95%
"Depreciation, Depletion & Amortization",3.28B,3.01B,3.33B,3.54B,3.27B
Depreciation and Depletion,1.1B,1.08B,1.2B,1.49B,1.25B
Amortization of Intangible Assets,2.18B,1.94B,2.13B,2.05B,2.01B
Deferred Taxes & Investment Tax Credit,-,-,-,-,-
Deferred Taxes,-,-,-,-,-
Investment Tax Credit,-,-,-,-,-
Other Funds,802M,766M,971M,695M,900M
Funds from Operations,6.45B,7.47B,8.79B,11.3B,11.1B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(148M),(1.33B),(892M),(771M),(1.52B)
Receivables,(190M),(275M),(924M),(383M),(68M)
Accounts Payable,747M,220M,1.77B,1.29B,420M
Other Assets/Liabilities,23M,(138M),(627M),(312M),(75M)
Net Operating Cash Flow,6.3B,6.14B,7.9B,10.53B,9.58B
Net Operating Cash Flow Growth,-,-2.60%,28.76%,33.31%,-9.04%
Net Operating Cash Flow / Sales,20.60%,19.23%,22.83%,24.45%,21.95%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(1.39B),(1.64B),(2.18B),(1.89B),(1.78B)
Capital Expenditures Growth,-,-17.50%,-32.91%,13.41%,5.73%
Capital Expenditures / Sales,-4.56%,-5.13%,-6.29%,-4.38%,-4.07%
Capital Expenditures (Fixed Assets),(1.39B),(1.64B),(2.18B),(1.89B),(1.78B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,(170M),(42M),(187M),-
Sale of Fixed Assets & Businesses,48M,48M,58M,134M,48M
Purchase/Sale of Investments,(58M),(82M),(73M),(96M),(33M)
Purchase of Investments,(131M),(103M),(83M),(173M),(185M)
Sale/Maturity of Investments,73M,21M,10M,77M,152M
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(1.36B),(1.82B),(2.22B),(2.01B),(1.74B)
Net Investing Cash Flow Growth,-,-33.85%,-22.04%,9.35%,13.35%
Net Investing Cash Flow / Sales,-4.43%,-5.69%,-6.40%,-4.66%,-3.99%
