Item,2017,2018,2019,2020,2021
Funds from Operations,711M,867.9M,1.03B,1.28B,1.5B
Funds from Operations Growth,-,22.07%,19.15%,23.90%,17.44%
Changes in Working Capital,143.2M,(102.8M),85.1M,471.3M,199.5M
Receivables,(47.7M),(783.1M),(434.7M),(796.5M),132.9M
Inventories,-,-,-,-,-
Accounts Payable,166.9M,819.7M,461.6M,1.15B,35.5M
Other Assets/Liabilities,(47.6M),(138.3M),(54.3M),(30M),(67.4M)
Net Operating Cash Flow,854.2M,765.1M,1.12B,1.75B,1.7B
Net Operating Cash Flow Growth,-,-10.43%,46.28%,56.59%,-2.76%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(129.2M),(124.4M),(138.8M),(99.3M),(128.6M)
Capital Expenditures Growth,-,3.72%,-11.58%,28.46%,-29.51%
Capital Expenditures (Fixed Assets),(129.2M),(124.4M),(138.8M),(99.3M),(128.6M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(376.1M),(784.8M),(1.27B),(324.3M),(3.25B)
Sale of Fixed Assets & Businesses,3.2M,14.5M,81M,8.2M,15.7M
Purchase/Sale of Investments,(43.9M),(69.8M),(127.4M),(85.8M),(40.2M)
Purchase of Investments,(43.9M),(69.8M),(127.4M),(85.8M),(40.2M)
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(546M),(964.5M),(1.45B),(501.2M),(3.47B)
