Item,2018,2019,2020,2021,2022
Funds from Operations,4.66B,4.46B,5.49B,5.2B,671M
Funds from Operations Growth,-,-4.31%,22.99%,-5.19%,-87.11%
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,5.18B,5.13B,5.49B,5.12B,5.12B
Net Operating Cash Flow Growth,-,-0.89%,7.06%,-6.83%,0.10%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(277M),(433M),(308M),(345M),(420M)
Capital Expenditures Growth,-,-56.32%,28.87%,-12.01%,-21.74%
Capital Expenditures (Fixed Assets),(277M),(433M),(308M),(345M),(420M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(558M),(18M),-,(3.59B),-
Sale of Fixed Assets & Businesses,-,-,1M,2.06B,209M
Purchase/Sale of Investments,(884M),(2.36B),(3.13B),2.39B,(1.52B)
Purchase of Investments,(46.71B),(42.1B),(48.48B),(43.9B),(47.87B)
Sale/Maturity of Investments,45.82B,39.75B,45.35B,46.29B,46.35B
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(1.72B),(2.81B),(3.44B),510M,(1.73B)
Net Investing Cash Flow Growth,-,-63.29%,-22.59%,114.82%,-438.82%
