Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,1.55B,1.01B,1.11B,1.3B,(2.42B)
Net Income Growth,-,-34.61%,9.79%,16.67%,-286.95%
"Depreciation, Depletion & Amortization",771M,789M,823M,890M,1.4B
Depreciation and Depletion,602M,606M,601M,592M,650M
Amortization of Intangible Assets,169M,183M,222M,298M,753M
Deferred Taxes & Investment Tax Credit,(263M),(310M),(88M),(146M),(225M)
Deferred Taxes,(263M),(310M),(88M),(146M),(225M)
Investment Tax Credit,-,-,-,-,-
Other Funds,211M,1.04B,295M,344M,3.48B
Funds from Operations,2.27B,2.53B,2.14B,2.38B,2.23B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(248M),(425M),(272M),(161M),(1.02B)
Receivables,(12M),(65M),(126M),(170M),(146M)
Accounts Payable,60M,(212M),143M,104M,(76M)
Other Assets/Liabilities,(99M),(152M),(127M),(166M),(167M)
Net Operating Cash Flow,2.02B,2.1B,1.87B,2.22B,1.21B
Net Operating Cash Flow Growth,-,4.31%,-11.22%,18.95%,-45.50%
Net Operating Cash Flow / Sales,18.17%,18.52%,16.00%,17.38%,8.01%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(659M),(696M),(709M),(743M),(679M)
Capital Expenditures Growth,-,-5.61%,-1.87%,-4.80%,8.61%
Capital Expenditures / Sales,-5.94%,-6.13%,-6.07%,-5.81%,-4.49%
Capital Expenditures (Fixed Assets),(659M),(696M),(709M),(743M),(679M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(268M),(418M),(494M),(10.5B),(263M)
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(916M),(1.1B),(1.18B),(11.2B),(931M)
Net Investing Cash Flow Growth,-,-20.09%,-7.18%,-849.96%,91.69%
Net Investing Cash Flow / Sales,-8.25%,-9.68%,-10.10%,-87.61%,-6.16%
