Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,283M,271M,(15.76B),(330M),(578M)
Net Income Growth,-,-4.24%,"-5,915.87%",97.91%,-75.15%
"Depreciation, Depletion & Amortization",1.49B,1.42B,1.32B,1.11B,1.06B
Depreciation and Depletion,1.03B,1.05B,1.01B,852M,839M
Amortization of Intangible Assets,455M,365M,308M,253M,222M
Deferred Taxes & Investment Tax Credit,(249M),51M,160M,133M,-
Deferred Taxes,(249M),51M,160M,133M,-
Investment Tax Credit,-,-,-,-,-
Other Funds,(32M),138M,15.15B,852M,1.14B
Funds from Operations,1.49B,1.88B,861M,1.76B,1.62B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,274M,248M,443M,614M,267M
Receivables,(204M),(583M),680M,(126M),(625M)
Accounts Payable,794M,249M,(711M),246M,605M
Other Assets/Liabilities,23M,782M,554M,324M,1.17B
Net Operating Cash Flow,1.76B,2.13B,1.3B,2.37B,1.89B
Net Operating Cash Flow Growth,-,20.66%,-38.66%,82.06%,-20.47%
Net Operating Cash Flow / Sales,7.70%,8.92%,6.30%,11.58%,8.92%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(995M),(1.24B),(974M),(856M),(989M)
Capital Expenditures Growth,-,-24.62%,21.45%,12.11%,-15.54%
Capital Expenditures / Sales,-4.35%,-5.20%,-4.70%,-4.18%,-4.67%
Capital Expenditures (Fixed Assets),(995M),(1.24B),(974M),(856M),(989M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(594M),(176M),(26M),(179M),(845M)
Sale of Fixed Assets & Businesses,911M,341M,374M,385M,217M
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,48M,-,-,7M
Net Investing Cash Flow,(578M),(1.05B),(618M),(463M),(1.56B)
Net Investing Cash Flow Growth,-,-80.80%,40.86%,25.08%,-237.80%
Net Investing Cash Flow / Sales,-2.53%,-4.38%,-2.98%,-2.26%,-7.39%
