Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,811.8M,678.4M,841.8M,1.3B,888.2M
Net Income Growth,-,-16.43%,24.09%,54.54%,-31.72%
"Depreciation, Depletion & Amortization",257M,333M,388.9M,387.7M,375.4M
Depreciation and Depletion,222.1M,283.9M,329.1M,328M,316.1M
Amortization of Intangible Assets,34.9M,49.1M,59.8M,59.7M,59.3M
Deferred Taxes & Investment Tax Credit,-,-,-,-,-
Deferred Taxes,-,-,-,-,-
Investment Tax Credit,-,-,-,-,-
Other Funds,(165.5M),11.7M,299.2M,77.9M,132.1M
Funds from Operations,903.3M,1.02B,1.53B,1.77B,1.4B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,50.9M,102.4M,312.7M,(298.4M),(218.4M)
Receivables,(4.7M),(69.1M),(43.8M),66.1M,(69.5M)
Accounts Payable,144.9M,38.2M,234.4M,141.4M,223.6M
Other Assets/Liabilities,13.7M,64.6M,9.5M,(67.1M),(44.3M)
Net Operating Cash Flow,954.2M,1.13B,1.84B,1.47B,1.18B
Net Operating Cash Flow Growth,-,17.95%,63.71%,-20.32%,-19.81%
Net Operating Cash Flow / Sales,12.02%,11.80%,16.67%,13.13%,10.21%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(251.6M),(353.1M),(369.5M),(506.4M),(464.4M)
Capital Expenditures Growth,-,-40.34%,-4.64%,-37.05%,8.29%
Capital Expenditures / Sales,-3.17%,-3.70%,-3.34%,-4.53%,-4.03%
Capital Expenditures (Fixed Assets),(251.6M),(353.1M),(369.5M),(506.4M),(464.4M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(337.1M),(5.12B),-,-,-
Sale of Fixed Assets & Businesses,8M,304M,208.6M,163.4M,20.3M
Purchase/Sale of Investments,-,(8.8M),7M,2.7M,5.9M
Purchase of Investments,-,(61M),(46.8M),(11.8M),(4.5M)
Sale/Maturity of Investments,-,52.2M,53.8M,14.5M,10.4M
Other Uses,-,-,-,-,-
Other Sources,-,600K,-,-,-
Net Investing Cash Flow,(576.2M),(5.17B),(153.8M),(340.3M),(434.9M)
Net Investing Cash Flow Growth,-,-796.56%,97.02%,-121.26%,-27.80%
Net Investing Cash Flow / Sales,-7.26%,-54.16%,-1.39%,-3.04%,-3.77%
