Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,3.21B,3.94B,4.77B,(12.39B),280M
Net Income Growth,-,22.78%,21.14%,-359.81%,102.26%
"Depreciation, Depletion & Amortization",2.22B,2.33B,2.58B,2.31B,2B
Depreciation and Depletion,2.21B,2.31B,2.57B,2.3B,1.99B
Amortization of Intangible Assets,17M,17M,11M,10M,10M
Deferred Taxes & Investment Tax Credit,2.24B,1.36B,1.47B,(3.11B),115M
Deferred Taxes,2.24B,1.36B,1.47B,(3.11B),115M
Investment Tax Credit,-,-,-,-,-
Other Funds,(3.3B),(790M),(922M),7.44B,(1.7B)
Funds from Operations,4.37B,6.84B,7.9B,(5.74B),697M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,656M,176M,526M,1.95B,2.57B
Receivables,(428M),108M,(775M),1.17B,(981M)
Accounts Payable,955M,(418M),144M,-,-
Other Assets/Liabilities,526M,162M,1.3B,427M,3.87B
Net Operating Cash Flow,5.02B,7.01B,8.43B,(3.79B),3.26B
Net Operating Cash Flow Growth,-,39.64%,20.12%,-145.02%,186.05%
Net Operating Cash Flow / Sales,12.21%,15.78%,17.92%,-22.19%,10.92%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(3.89B),(5.17B),(4.94B),(1.9B),(3.25B)
Capital Expenditures Growth,-,-32.82%,4.49%,61.53%,-70.98%
Capital Expenditures / Sales,-9.46%,-11.63%,-10.50%,-11.11%,-10.86%
Capital Expenditures (Fixed Assets),(3.89B),(5.17B),(4.94B),(1.9B),(3.25B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,465M,-
Purchase/Sale of Investments,(1.59B),621M,315M,(7.89B),2.38B
Purchase of Investments,(2.17B),(145M),(170M),(15.5B),(12.66B)
Sale/Maturity of Investments,584M,766M,485M,7.61B,15.04B
Other Uses,-,-,-,-,(32M)
Other Sources,636M,65M,-,364M,80M
Net Investing Cash Flow,(5.27B),(4.39B),(4.56B),(9.24B),(898M)
Net Investing Cash Flow Growth,-,16.58%,-3.87%,-102.45%,90.28%
Net Investing Cash Flow / Sales,-12.80%,-9.89%,-9.71%,-54.04%,-3.00%
