Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,824M,788M,906M,1.49B,2.07B
Net Income Growth,-,-4.37%,14.97%,64.79%,38.85%
"Depreciation, Depletion & Amortization",270M,309M,329M,361M,408M
Depreciation and Depletion,196M,219M,233M,258M,305M
Amortization of Intangible Assets,74M,90M,96M,103M,103M
Deferred Taxes & Investment Tax Credit,9M,73M,15M,85M,(57M)
Deferred Taxes,9M,73M,15M,85M,(57M)
Investment Tax Credit,-,-,-,-,-
Other Funds,81M,79M,(42M),44M,(278M)
Funds from Operations,1.18B,1.25B,1.21B,1.98B,2.15B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(9M),(49M),35M,22M,87M
Receivables,9M,(65M),(63M),(455M),81M
Accounts Payable,(8M),(19M),73M,452M,35M
Other Assets/Liabilities,(26M),31M,(4M),3M,(9M)
Net Operating Cash Flow,1.18B,1.2B,1.24B,2.01B,2.23B
Net Operating Cash Flow Growth,-,2.13%,3.58%,61.30%,11.37%
Net Operating Cash Flow / Sales,15.87%,15.93%,16.09%,21.25%,20.70%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(252M),(383M),(400M),(418M),(403M)
Capital Expenditures Growth,-,-51.98%,-4.44%,-4.50%,3.59%
Capital Expenditures / Sales,-3.40%,-5.09%,-5.18%,-4.43%,-3.74%
Capital Expenditures (Fixed Assets),(252M),(383M),(400M),(418M),(403M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(581M),(421M),(58M),(330M),(331M)
Sale of Fixed Assets & Businesses,5M,18M,91M,3M,3M
Purchase/Sale of Investments,-,-,-,-,755M
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,755M
Other Uses,-,-,(44M),(27M),(3M)
Other Sources,37M,23M,-,44M,-
Net Investing Cash Flow,(826M),(785M),(411M),(772M),21M
Net Investing Cash Flow Growth,-,4.96%,47.64%,-87.83%,102.72%
Net Investing Cash Flow / Sales,-11.16%,-10.42%,-5.32%,-8.18%,0.19%
