Item,2022,2018,2019,2020,2021
Net Income before Extraordinaries,2.41B,1.12B,1.79B,696M,2.88B
Net Income Growth,-,-53.61%,60.61%,-61.20%,313.07%
"Depreciation, Depletion & Amortization",727M,531M,557M,611M,651M
Depreciation and Depletion,-,480M,506M,514M,516M
Amortization of Intangible Assets,-,51M,51M,97M,135M
Deferred Taxes & Investment Tax Credit,(149M),175M,(66M),(143M),(230M)
Deferred Taxes,-,175M,(66M),(143M),(230M)
Investment Tax Credit,-,-,-,-,-
Other Funds,608M,175M,234M,1.13B,(219M)
Funds from Operations,3.59B,2B,2.52B,2.29B,3.08B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(554M),564M,(2M),(11M),554M
Receivables,-,(105M),(169M),625M,(398M)
Accounts Payable,-,349M,319M,(308M),440M
Other Assets/Liabilities,-,1M,(62M),(156M),(43M)
Net Operating Cash Flow,-,2.56B,2.52B,2.28B,3.63B
Net Operating Cash Flow Growth,-,-,-1.76%,-9.42%,59.25%
Net Operating Cash Flow / Sales,-,18.72%,16.97%,15.99%,22.34%
Item,2022,2018,2019,2020,2021
Capital Expenditures,-,(629M),(744M),(623M),(637M)
Capital Expenditures Growth,-,-,-18.28%,16.26%,-2.25%
Capital Expenditures / Sales,-,-4.60%,-5.02%,-4.37%,-3.92%
Capital Expenditures (Fixed Assets),-,(629M),(744M),(623M),(637M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(3M),-,-,(1.05B),(1.07B)
Sale of Fixed Assets & Businesses,-,-,2M,-,-
Purchase/Sale of Investments,-,271M,1.22B,(5M),(42M)
Purchase of Investments,-,(478M),(14M),(5M),(42M)
Sale/Maturity of Investments,-,749M,1.23B,-,-
Other Uses,-,-,-,(23M),(152M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,-,(358M),473M,(1.7B),(1.86B)
Net Investing Cash Flow Growth,-,-,232.12%,-458.99%,-9.78%
Net Investing Cash Flow / Sales,-,-2.62%,3.19%,-11.91%,-11.47%
