Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,709.01M,694.08M,952.49M,992.32M,1.08B
Net Income Growth,-,-2.11%,37.23%,4.18%,9.06%
"Depreciation, Depletion & Amortization",86.25M,96.19M,106.18M,126.72M,154.82M
Depreciation and Depletion,59.9M,64.8M,71.92M,78.12M,103.5M
Amortization of Intangible Assets,26.36M,31.4M,34.25M,48.59M,51.32M
Deferred Taxes & Investment Tax Credit,(90M),38.98M,(88.36M),6.93M,(5.37M)
Deferred Taxes,(90M),38.98M,(88.36M),6.93M,(5.37M)
Investment Tax Credit,-,-,-,-,-
Other Funds,99.27M,97.23M,81.03M,67.82M,128.58M
Funds from Operations,804.53M,926.48M,1.05B,1.19B,1.36B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(143.69M),(6.96M),(352.79M),(58.52M),(347.81M)
Receivables,(40.09M),5.17M,(123.4M),(108.86M),(19.11M)
Accounts Payable,(17.24M),40.63M,26.19M,1.45M,108.95M
Other Assets/Liabilities,(34.34M),(5.56M),(51.11M),40.83M,32.91M
Net Operating Cash Flow,660.84M,919.52M,698.55M,1.14B,1.01B
Net Operating Cash Flow Growth,-,39.14%,-24.03%,62.52%,-10.82%
Net Operating Cash Flow / Sales,21.17%,27.47%,18.59%,27.12%,20.32%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(151.93M),(160.36M),(120.41M),(187.47M),(309.59M)
Capital Expenditures Growth,-,-5.55%,24.91%,-55.69%,-65.14%
Capital Expenditures / Sales,-4.87%,-4.79%,-3.20%,-4.48%,-6.21%
Capital Expenditures (Fixed Assets),(139.7M),(155.76M),(118.03M),(185.4M),(307.65M)
Capital Expenditures (Other Assets),(12.23M),(4.6M),(2.38M),(2.07M),(1.94M)
Net Assets from Acquisitions,(90.47M),(29.17M),(300.29M),(148.65M),(20.18M)
Sale of Fixed Assets & Businesses,361K,1.6M,529K,1.98M,35K
Purchase/Sale of Investments,47.66M,(119.58M),(30.58M),73.61M,(145.64M)
Purchase of Investments,(587.66M),(403.18M),(789.35M),(1.05B),(1.51B)
Sale/Maturity of Investments,635.31M,283.6M,758.77M,1.13B,1.36B
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(194.38M),(307.5M),(450.75M),(260.52M),(475.37M)
Net Investing Cash Flow Growth,-,-58.19%,-46.58%,42.20%,-82.47%
Net Investing Cash Flow / Sales,-6.23%,-9.19%,-12.00%,-6.22%,-9.54%
