Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,220.43M,520.45M,228.36M,435.3M,203M
Net Income Growth,-,136.10%,-56.12%,90.62%,-53.37%
"Depreciation, Depletion & Amortization",211.86M,266.37M,652.03M,908.7M,788.1M
Depreciation and Depletion,139.26M,133.53M,120.23M,163.3M,127.3M
Amortization of Intangible Assets,72.61M,132.84M,531.8M,745.4M,660.8M
Deferred Taxes & Investment Tax Credit,(11.09M),(14.96M),30.32M,36M,(130.1M)
Deferred Taxes,(11.09M),(14.96M),30.32M,36M,(130.1M)
Investment Tax Credit,-,-,-,-,-
Other Funds,126.57M,84.82M,125.76M,259.1M,389.7M
Funds from Operations,547.77M,856.69M,1.04B,1.64B,1.25B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,98.22M,(203.63M),(60.13M),(821.2M),(877.8M)
Receivables,180.11M,(211.45M),210.82M,(159.5M),339.6M
Accounts Payable,107.43M,62.28M,49.29M,313.2M,(278.7M)
Other Assets/Liabilities,(152.1M),(49.83M),(383M),(801M),(799.2M)
Net Operating Cash Flow,646M,653.06M,976.34M,817.9M,372.9M
Net Operating Cash Flow Growth,-,1.09%,49.50%,-16.23%,-54.41%
Net Operating Cash Flow / Sales,14.12%,13.85%,17.87%,12.74%,6.37%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(140.43M),(133.64M),(125.75M),(132.7M),(174.2M)
Capital Expenditures Growth,-,4.84%,5.90%,-5.52%,-31.27%
Capital Expenditures / Sales,-3.07%,-2.83%,-2.30%,-2.07%,-2.98%
Capital Expenditures (Fixed Assets),(140.43M),(133.64M),(125.75M),(132.7M),(174.2M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(155.45M),(8.76M),(4.41B),-,(146.3M)
Sale of Fixed Assets & Businesses,-,-,-,378.5M,-
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,(3.8M),-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(286.48M),(60.96M),(4.5B),242M,(313M)
Net Investing Cash Flow Growth,-,78.72%,"-7,282.87%",105.38%,-229.34%
Net Investing Cash Flow / Sales,-6.26%,-1.29%,-82.38%,3.77%,-5.35%
