Item,2018,2019,2020,2021,2022
Funds from Operations,2.24B,2.19B,2.22B,1.77B,3.45B
Funds from Operations Growth,-,-2.28%,1.19%,-20.31%,95.13%
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(245M),(370M),(396M),336M,(121M)
Net Operating Cash Flow,2B,1.82B,1.82B,2.1B,3.33B
Net Operating Cash Flow Growth,-,-8.82%,0.00%,15.49%,58.18%
Net Operating Cash Flow / Interest Income,50.54%,43.32%,49.90%,50.16%,55.70%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(110M),(107M),(119M),(247M),(214M)
Capital Expenditures (Fixed Assets),(110M),(107M),(119M),(247M),(214M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(15M),(548M),-,(618M),-
Sale of Fixed Assets & Businesses,-,-,-,466M,(223M)
Purchase/Sale of Investments,1.47B,(539M),(1.94B),(7.38B),(3.7B)
Purchase of Investments,(2.84B),(7.59B),(11.1B),(24.71B),(11.42B)
Sale/Maturity of Investments,4.31B,7.05B,9.17B,17.33B,7.72B
Increase in Loans,(5.48B),(1.87B),(7.85B),(1.25B),(9.78B)
Decrease in Loans,90M,-,-,3.88B,1.01B
Other Uses,-,-,-,-,(66M)
Other Sources,67M,228M,67M,91M,192M
Net Investing Cash Flow,(3.98B),(2.84B),(9.84B),(5.06B),(12.79B)
Net Investing Cash Flow Growth,-,28.63%,-246.85%,48.61%,-152.90%
Net Investing Cash Flow / Interest Income,-100.66%,-67.53%,-269.81%,-120.66%,-214.26%
