Item,2017,2018,2019,2020,2021
Funds from Operations,40.36B,49.57B,53.33B,53.3B,54.03B
Funds from Operations Growth,-,22.84%,7.57%,-0.05%,1.37%
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(46.85B),18.53B,(27.2B),27.29B,(4.57B)
Net Operating Cash Flow,(6.49B),68.11B,26.13B,80.59B,49.46B
Net Operating Cash Flow Growth,-,"1,149.58%",-61.64%,208.44%,-38.63%
Net Operating Cash Flow / Interest Income,-10.08%,89.50%,31.09%,124.90%,85.48%
Item,2017,2018,2019,2020,2021
Capital Expenditures,-,-,-,-,-
Capital Expenditures (Fixed Assets),-,-,-,-,-
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,71.69B,(186.48B),(85.66B),(397.35B),(22.27B)
Purchase of Investments,(116.31B),(272.89B),(283.86B),(626.14B),(406.18B)
Sale/Maturity of Investments,188B,86.41B,198.2B,228.79B,383.9B
Increase in Loans,(63.01B),(90.27B),(53.7B),(50.26B),(103.25B)
Decrease in Loans,15.79B,29.83B,70.3B,32.55B,35.85B
Other Uses,(563M),(4.99B),(5.04B),(7.34B),(11.04B)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,23.91B,(251.91B),(74.09B),(422.41B),(100.72B)
Net Investing Cash Flow Growth,-,"-1,153.54%",70.59%,-470.10%,76.16%
Net Investing Cash Flow / Interest Income,37.15%,-331.03%,-88.17%,-654.66%,-174.06%
