Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,1.92B,2.24B,180M,1.85B,2.63B
Net Income Growth,-,16.68%,-91.96%,927.78%,41.89%
"Depreciation, Depletion & Amortization",2.3B,2.41B,2.16B,2.14B,2.19B
Depreciation and Depletion,2.08B,2.2B,1.95B,1.9B,1.93B
Amortization of Intangible Assets,219M,214M,212M,237M,253M
Deferred Taxes & Investment Tax Credit,405M,717M,345M,355M,692M
Deferred Taxes,405M,717M,345M,355M,692M
Investment Tax Credit,-,-,-,-,-
Other Funds,458M,(59M),1.98B,1.75B,71M
Funds from Operations,5.08B,5.31B,4.67B,6.09B,5.57B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,201M,(227M),31M,(218M),(451M)
Receivables,87M,105M,88M,(265M),(220M)
Accounts Payable,21M,(198M),(19M),387M,161M
Other Assets/Liabilities,(214M),116M,203M,(123M),(254M)
Net Operating Cash Flow,5.28B,5.08B,4.7B,5.87B,5.12B
Net Operating Cash Flow Growth,-,-3.77%,-7.42%,24.81%,-12.74%
Net Operating Cash Flow / Sales,36.98%,38.61%,40.98%,33.49%,26.20%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(2.96B),(2.35B),(1.72B),(1.28B),(1.62B)
Capital Expenditures Growth,-,20.72%,26.65%,25.65%,-26.54%
Capital Expenditures / Sales,-20.75%,-17.85%,-15.01%,-7.31%,-8.29%
Capital Expenditures (Fixed Assets),(2.92B),(2.27B),(1.71B),(1.28B),(1.62B)
Capital Expenditures (Other Assets),(39M),(79M),(16M),-,-
Net Assets from Acquisitions,-,-,-,(1.55B),(487M)
Sale of Fixed Assets & Businesses,3.02B,1.61B,1.07B,406M,563M
Purchase/Sale of Investments,(309M),(1.3B),(386M),(38M),(229M)
Purchase of Investments,(433M),(1.3B),(386M),(38M),(229M)
Sale/Maturity of Investments,124M,-,-,-,-
Other Uses,(31M),(31M),(25M),(8M),-
Other Sources,181M,148M,14M,4M,2M
Net Investing Cash Flow,(286M),(2.04B),(1.07B),(2.47B),(1.77B)
Net Investing Cash Flow Growth,-,-614.69%,47.90%,-131.74%,28.12%
Net Investing Cash Flow / Sales,-2.00%,-15.53%,-9.28%,-14.08%,-9.07%
