Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,3.45B,2.31B,4.28B,5.84B,8.44B
Net Income Growth,-,-32.87%,85.00%,36.30%,44.68%
"Depreciation, Depletion & Amortization",1.54B,1.61B,1.88B,2.07B,2.4B
Depreciation and Depletion,1.4B,1.48B,1.73B,1.98B,2.37B
Amortization of Intangible Assets,136M,130M,148M,94M,32M
Deferred Taxes & Investment Tax Credit,53M,(151M),177M,(108M),135M
Deferred Taxes,53M,(151M),177M,(108M),135M
Investment Tax Credit,-,-,-,-,-
Other Funds,521M,1.67B,227M,1.35B,264M
Funds from Operations,5.56B,5.44B,6.56B,9.15B,11.24B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(496M),758M,(2.27B),1.9B,(1.13B)
Receivables,-,-,-,-,-
Accounts Payable,(92M),1.72B,(637M),3.21B,466M
Other Assets/Liabilities,387M,327M,(1.03B),1.65B,(180M)
Net Operating Cash Flow,5.07B,6.19B,4.3B,11.05B,10.11B
Net Operating Cash Flow Growth,-,22.27%,-30.63%,157.19%,-8.47%
Net Operating Cash Flow / Sales,7.38%,8.68%,5.95%,12.33%,10.51%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(1.12B),(1.17B),(1.48B),(1.79B),(1.85B)
Capital Expenditures Growth,-,-4.54%,-26.41%,-20.69%,-3.46%
Capital Expenditures / Sales,-1.64%,-1.65%,-2.06%,-2.00%,-1.93%
Capital Expenditures (Fixed Assets),(1.12B),(1.17B),(1.48B),(1.79B),(1.85B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(509M),-,-,-,-
Sale of Fixed Assets & Businesses,45M,76M,163M,90M,113M
Purchase/Sale of Investments,133M,20M,(48M),(168M),228M
Purchase of Investments,(981M),(1.37B),(743M),(3.09B),(3.07B)
Sale/Maturity of Investments,1.11B,1.39B,695M,2.93B,3.29B
Other Uses,-,(2M),-,(25M),(134M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(1.44B),(1.08B),(1.37B),(1.89B),(1.65B)
Net Investing Cash Flow Growth,-,25.05%,-26.76%,-38.35%,13.09%
Net Investing Cash Flow / Sales,-2.10%,-1.51%,-1.90%,-2.11%,-1.71%
