Item,2018,2019,2020,2021,2022
Funds from Operations,2.38B,1.95B,1.36B,1.7B,2.01B
Funds from Operations Growth,-,-17.95%,-30.33%,24.78%,18.62%
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,2.52B,2.24B,2.32B,2.67B,3.16B
Net Operating Cash Flow Growth,-,-11.31%,3.62%,15.37%,18.08%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(995M),(1.04B),(710M),(482M),(660M)
Capital Expenditures Growth,-,-4.62%,31.80%,32.11%,-36.93%
Capital Expenditures (Fixed Assets),(995M),(1.04B),(710M),(482M),(660M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(37M),(280M),(578M),(18M),(66M)
Sale of Fixed Assets & Businesses,113M,140M,65M,80M,16M
Purchase/Sale of Investments,(296M),665M,(101M),(1.29B),(1.61B)
Purchase of Investments,(11.54B),(8.92B),(10.95B),(10.19B),(10.56B)
Sale/Maturity of Investments,11.25B,9.58B,10.84B,8.9B,8.95B
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,(229M),(178M),(127M),-,(92M)
Other Sources,-,-,-,504M,-
Net Investing Cash Flow,(1.44B),(694M),(1.45B),(1.21B),(2.41B)
Net Investing Cash Flow Growth,-,51.94%,-109.08%,16.95%,-100.25%
