Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,3.1B,4.65B,4.81B,3.63B,5.06B
Net Income Growth,-,50.24%,3.35%,-24.47%,39.45%
"Depreciation, Depletion & Amortization",2.64B,2.66B,2.66B,2.7B,2.71B
Depreciation and Depletion,821M,895M,907M,919M,974M
Amortization of Intangible Assets,1.82B,1.76B,1.76B,1.78B,1.73B
Deferred Taxes & Investment Tax Credit,(919M),(304M),(1.32B),(422M),(604M)
Deferred Taxes,(919M),(304M),(1.32B),(422M),(604M)
Investment Tax Credit,-,-,-,-,-
Other Funds,37M,1.08B,1.02B,1.03B,1.07B
Funds from Operations,4.86B,8.09B,7.17B,6.94B,8.24B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(173M),(1.08B),61M,(701M),(889M)
Receivables,(275M),(581M),1.29B,(761M),(477M)
Accounts Payable,65M,399M,(44M),531M,213M
Other Assets/Liabilities,229M,(624M),(609M),(549M),(65M)
Net Operating Cash Flow,4.68B,7.01B,7.23B,6.24B,7.35B
Net Operating Cash Flow Growth,-,49.59%,3.24%,-13.74%,17.72%
Net Operating Cash Flow / Sales,15.64%,22.93%,25.02%,20.72%,23.18%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(1.07B),(1.13B),(1.21B),(1.36B),(1.37B)
Capital Expenditures Growth,-,-6.18%,-6.97%,-11.71%,-0.96%
Capital Expenditures / Sales,-3.57%,-3.71%,-4.20%,-4.50%,-4.32%
Capital Expenditures (Fixed Assets),(1.07B),(1.13B),(1.21B),(1.36B),(1.37B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(137M),(1.83B),(488M),(994M),(91M)
Sale of Fixed Assets & Businesses,6.06B,-,-,-,-
Purchase/Sale of Investments,1.03B,2.15B,(1.47B),(463M),(190M)
Purchase of Investments,(3.2B),(2.53B),(11.04B),(11.81B),(9.88B)
Sale/Maturity of Investments,4.23B,4.68B,9.57B,11.35B,9.69B
Other Uses,(22M),-,(37M),(54M),(10M)
Other Sources,-,14M,-,-,163M
Net Investing Cash Flow,5.86B,(774M),(3.2B),(2.87B),(1.66B)
Net Investing Cash Flow Growth,-,-113.21%,-313.82%,10.52%,42.11%
Net Investing Cash Flow / Sales,19.56%,-2.53%,-11.08%,-9.52%,-5.24%
