Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,1.1B,480M,(1.45B),946M,3.61B
Net Income Growth,-,-56.20%,-402.29%,165.20%,281.82%
"Depreciation, Depletion & Amortization",2.7B,2.51B,2.48B,2.19B,1.85B
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,52M,(34M),(22M),(27M),(17M)
Deferred Taxes,52M,(34M),(22M),(27M),(17M)
Investment Tax Credit,-,-,-,-,-
Other Funds,(478M),127M,414M,-,(109M)
Funds from Operations,3.37B,3.08B,1.42B,3.11B,5.34B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(132M),(335M),57M,12M,88M
Receivables,(133M),52M,367M,(389M),9M
Accounts Payable,179M,(187M),(381M),369M,101M
Other Assets/Liabilities,(177M),(203M),75M,33M,23M
Net Operating Cash Flow,3.23B,2.75B,1.47B,3.12B,5.43B
Net Operating Cash Flow Growth,-,-15.00%,-46.42%,111.95%,73.86%
Net Operating Cash Flow / Sales,54.79%,54.30%,47.56%,55.74%,71.99%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(2.78B),(2.55B),(1.34B),(1.05B),(1.45B)
Capital Expenditures Growth,-,8.24%,47.33%,22.11%,-38.62%
Capital Expenditures / Sales,-47.09%,-50.37%,-43.36%,-18.68%,-19.23%
Capital Expenditures (Fixed Assets),(2.75B),(2.55B),(1.34B),(1.05B),(1.45B)
Capital Expenditures (Other Assets),(26M),-,-,-,-
Net Assets from Acquisitions,(25M),(293M),(1M),(47M),(3.18B)
Sale of Fixed Assets & Businesses,1.26B,(76M),18M,22M,11M
Purchase/Sale of Investments,57M,64M,7M,61M,12M
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,57M,64M,7M,61M,12M
Other Uses,-,-,-,-,(1M)
Other Sources,23M,-,-,1M,12M
Net Investing Cash Flow,(1.47B),(2.82B),(1.3B),(1.01B),(4.61B)
Net Investing Cash Flow Growth,-,-91.70%,53.76%,22.49%,-355.94%
Net Investing Cash Flow / Sales,-24.91%,-55.66%,-42.07%,-18.03%,-61.07%
