Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,558.93M,1.21B,1.87B,2.76B,5.12B
Net Income Growth,-,116.71%,54.13%,47.91%,85.28%
"Depreciation, Depletion & Amortization",6.33B,7.66B,9.32B,10.92B,12.44B
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,(208.69M),(85.52M),(94.44M),70.07M,199.55M
Deferred Taxes,(208.69M),(85.52M),(94.44M),70.07M,199.55M
Investment Tax Credit,-,-,-,-,-
Other Funds,(8.53B),(11.76B),(14.02B),(11.3B),(17.12B)
Funds from Operations,(1.84B),(2.97B),(2.93B),2.46B,634.59M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,58.98M,293.77M,43.04M,(31.87M),(241.98M)
Receivables,-,-,-,-,-
Accounts Payable,74.56M,199.2M,96.06M,(41.61M),145.12M
Other Assets/Liabilities,(129.92M),(55.85M),(210.8M),(188.45M),(567.43M)
Net Operating Cash Flow,(1.79B),(2.68B),(2.89B),2.43B,392.61M
Net Operating Cash Flow Growth,-,-50.09%,-7.72%,184.06%,-83.82%
Net Operating Cash Flow / Sales,-15.27%,-16.97%,-14.32%,9.71%,1.32%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(233.71M),(339.12M),(387.06M),(505.35M),(551.5M)
Capital Expenditures Growth,-,-45.10%,-14.14%,-30.56%,-9.13%
Capital Expenditures / Sales,-2.00%,-2.15%,-1.92%,-2.02%,-1.86%
Capital Expenditures (Fixed Assets),(173.3M),(173.95M),(253.04M),(497.92M),(524.59M)
Capital Expenditures (Other Assets),(60.41M),(165.17M),(134.03M),(7.43M),(26.92M)
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,268.04M,-,-,-,-
Purchase of Investments,(74.82M),-,-,-,-
Sale/Maturity of Investments,342.86M,-,-,-,-
Other Uses,-,-,-,-,(788.35M)
Other Sources,255K,-,-,-,-
Net Investing Cash Flow,34.33M,(339.12M),(387.06M),(505.35M),(1.34B)
Net Investing Cash Flow Growth,-,"-1,087.85%",-14.14%,-30.56%,-165.13%
Net Investing Cash Flow / Sales,0.29%,-2.15%,-1.92%,-2.02%,-4.51%
