Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,1.14B,31M,3.89B,554M,836M
Net Income Growth,-,-97.28%,"12,438.71%",-85.75%,50.90%
"Depreciation, Depletion & Amortization",640M,249M,271M,172M,160M
Depreciation and Depletion,420M,139M,162M,67M,36M
Amortization of Intangible Assets,220M,110M,109M,74M,124M
Deferred Taxes & Investment Tax Credit,(1.85B),(70M),16M,42M,(81M)
Deferred Taxes,(1.85B),(70M),16M,42M,(81M)
Investment Tax Credit,-,-,-,-,-
Other Funds,91M,815M,(5.52B),105M,(88M)
Funds from Operations,21M,1.03B,(1.35B),873M,827M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,929M,470M,485M,(167M),147M
Receivables,(170M),113M,583M,3M,(9M)
Accounts Payable,(4M),6M,(61M),(44M),10M
Other Assets/Liabilities,256M,282M,(303M),183M,250M
Net Operating Cash Flow,950M,1.5B,(861M),706M,974M
Net Operating Cash Flow Growth,-,57.37%,-157.59%,182.00%,37.96%
Net Operating Cash Flow / Sales,19.65%,60.87%,-34.58%,27.68%,34.84%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(142M),(207M),(89M),(6M),(6M)
Capital Expenditures Growth,-,-45.77%,57.00%,93.26%,0.00%
Capital Expenditures / Sales,-2.94%,-8.43%,-3.57%,-0.24%,-0.21%
Capital Expenditures (Fixed Assets),(142M),(207M),(89M),(6M),(6M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(401M),(180M),-,(344M),(39M)
Sale of Fixed Assets & Businesses,933M,26M,10.92B,218M,355M
Purchase/Sale of Investments,(387M),139M,547M,68M,15M
Purchase of Investments,(436M),-,-,-,-
Sale/Maturity of Investments,49M,139M,547M,68M,15M
Other Uses,(24M),(19M),-,(5M),-
Other Sources,-,-,9M,-,-
Net Investing Cash Flow,(21M),(241M),11.38B,(69M),326M
Net Investing Cash Flow Growth,-,"-1,047.62%","4,821.58%",-100.61%,572.46%
Net Investing Cash Flow / Sales,-0.43%,-9.81%,456.99%,-2.70%,11.66%
