Item,2017,2018,2019,2020,2021
Funds from Operations,1.82B,1.67B,1.55B,1.37B,1.76B
Funds from Operations Growth,-,-8.44%,-7.14%,-11.77%,28.61%
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,4.19B,5.16B,5.49B,3.74B,3.22B
Net Operating Cash Flow Growth,-,23.13%,6.53%,-31.94%,-13.90%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(164.8M),(92.3M),(132.4M),(108.8M),(129.9M)
Capital Expenditures Growth,-,43.99%,-43.45%,17.82%,-19.39%
Capital Expenditures (Fixed Assets),(164.8M),(92.3M),(132.4M),(108.8M),(129.9M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(13.3M),(215.8M),(1.21B),(1.4M),(24.2M)
Sale of Fixed Assets & Businesses,-,-,-,-,27M
Purchase/Sale of Investments,(3.89B),(5.43B),(6.35B),(4.92B),(5.56B)
Purchase of Investments,(16.4B),(17.75B),(18.24B),(19.26B),(22.24B)
Sale/Maturity of Investments,12.51B,12.32B,11.89B,14.34B,16.68B
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(4.07B),(5.73B),(7.69B),(5.03B),(5.68B)
Net Investing Cash Flow Growth,-,-41.01%,-34.13%,34.63%,-13.03%
