Item,2017,2018,2019,2020,2021
Funds from Operations,1.97B,3.43B,3.39B,4.61B,2.41B
Funds from Operations Growth,-,73.85%,-1.20%,35.91%,-47.79%
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,3.76B,6.28B,6.26B,6.91B,7.76B
Net Operating Cash Flow Growth,-,67.29%,-0.37%,10.28%,12.40%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(155.7M),(266M),(363.5M),(223.5M),(243.5M)
Capital Expenditures Growth,-,-70.84%,-36.65%,38.51%,-8.95%
Capital Expenditures (Fixed Assets),(155.7M),(266M),(363.5M),(223.5M),(243.5M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(18.1M),-,-,-,(313.2M)
Sale of Fixed Assets & Businesses,15.3M,9.4M,53.3M,21.9M,66.2M
Purchase/Sale of Investments,(3.21B),(7.09B),(4.03B),(6B),(2.68B)
Purchase of Investments,(14.84B),(21.99B),(29.15B),(36.38B),(34.02B)
Sale/Maturity of Investments,11.63B,14.9B,25.11B,30.38B,31.34B
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,(33.6M),-,-,-,-
Other Sources,-,11.7M,6M,83.6M,47.9M
Net Investing Cash Flow,(3.41B),(7.33B),(4.34B),(6.12B),(3.12B)
Net Investing Cash Flow Growth,-,-115.22%,40.83%,-41.02%,49.00%
