Item,2017,2018,2019,2020,2021
Funds from Operations,1.98B,2.15B,2.08B,2.07B,2.56B
Funds from Operations Growth,-,9.00%,-3.44%,-0.56%,23.97%
Changes in Working Capital,-,-,-,-,-
Receivables,-,-,-,-,-
Inventories,-,-,-,-,-
Accounts Payable,-,-,-,-,-
Other Assets/Liabilities,-,-,-,-,-
Net Operating Cash Flow,1.98B,2.15B,2.08B,2.07B,2.56B
Net Operating Cash Flow Growth,-,9.00%,-3.44%,-0.56%,23.97%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(122.2M),(140.07M),(187.31M),(170M),(270.24M)
Capital Expenditures Growth,-,-14.62%,-33.73%,9.24%,-58.97%
Capital Expenditures (Fixed Assets),(122.2M),(140.07M),(187.31M),(170M),(270.24M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(14.43M),-,(35M),(33K),(692K)
Sale of Fixed Assets & Businesses,2.48M,1.72M,4.15M,2.63M,2.45M
Purchase/Sale of Investments,(617.66M),(465.64M),(721.68M),(972.37M),(5.31B)
Purchase of Investments,(623.76M),(519.82M),(722.44M),(981.68M),(5.33B)
Sale/Maturity of Investments,6.1M,54.18M,762K,9.31M,16.3M
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(751.8M),(603.99M),(939.84M),(1.14B),(5.58B)
